,카페이름
0,효목2동 비아토르
1,성내3동 더리터 대구서문시장점
2,효목2동 폴바셋 대구신세계백화점2호점
3,신암3동 마시그레이 동대구역점
4,신암5동 카페모퉁이
5,남산1동 피카소
6,신암3동 백양전통차
7,신천2동 시월보름
8,남산2동 캠프바이 커피명가
9,신암3동 베이크화목
10,신암1동 크크.라니커피
11,효목2동 연화
12,지저동 정다운커피숍
13,남산3동 꾸덕꾸
14,성내3동 마카모디
15,신암3동 스타벅스 신세계대구8F R점
16,동인동 카페퀸즈
17,성내2동 카페필름통
18,안심3동 스타벅스 대구각산역DT점
19,신암1동 헤이크로롱
20,효목2동 츄릅츄릅
21,불로동 카페불로
22,봉무동 디다카페
23,안심2동 밀크올로지
24,안심3동 카페디아몽
25,대봉2동 아틀리에빈 대봉점
26,신천2동 이제곱
27,공산동 파이데이아북카페
28,안심2동 슬로우벗베럴
29,안심1동 팔공티 대구율하점
30,공산동 에움길
31,동인동 에그오
32,불로동 주식회사 우주푸드
33,안심2동 꽃봄
34,불로동 왓쿡왓커피 대구이시아점
35,신암2동 카페산책
36,효목1동 커피타임
37,신천3동 빌리버스
38,남산4동 알레이커피
39,대신동 커피셀러
40,신암2동 커피공식
41,안심2동 커피한잔
42,동촌동 카페인차
43,남산2동 라미아에밀리
44,성내1동 커피매거진
45,남산1동 카페소풍
46,남산3동 빽다방 대구청라힐스자이점
47,신암1동 트리 굿커피 공고네거리점
48,신암3동 테이크인
49,대봉2동 요거트렌디
50,지저동 야노쉬
51,대봉2동 우미우미
52,안심1동 라이노커피
53,해안동 라이브와이어커피하우스
54,지저동 파센드
55,신천4동 M2라이브카페
56,신천3동 대한커피숍
57,대신동 이병규의 커피클럽
58,동촌동 인스퍼레이션디 동촌유원지점
59,신천3동 마시그레이 동대구역점
60,효목2동 가로등커피
61,남산2동 조앤더주스 더현대대구점
62,봉무동 호호슬라임 봉무점
63,신암1동 파스쿠찌 대구신암점
64,공산동 헤이마포인트
65,남산1동 청커피숍
