,카페이름
217,평리2동 오이커
218,고성동 카페허니비
219,비산3동 메가MGC커피 대구비산점
220,대명6동 셀파파
221,내당4동 오프닝카페
222,비산3동 카페블레싱
223,대명10동 이루팜 대명점
224,고성동 요거잇
225,내당1동 신성커피숍
226,비산2동 몽구네애견카페
227,대명3동 카페판다
228,대명9동 이집
229,대명6동 페브
230,평리6동 블렉카페
231,대명3동 마켓메이커
232,이천동 리비
233,비산1동 나우커피 대구서구비산점
234,대명10동 더커피(THECOFFEE)
235,비산6동 커피숲
236,봉덕2동 조이앤제이
237,대명4동 송우카페
238,평리1동 카페루앤비 대구평리점
239,비산6동 씨어스 c-us
240,비산4동 커피 제5지구
241,대명6동 뵈르카페 앞산직영점
242,내당3동 커피부라노
243,대명5동 스타벅스 대구영대병원역DT점
244,평리6동 카페로니
245,대명9동 페코
246,평리6동 설빙 대구서구청점
247,대명1동 카페달달
248,봉덕1동 카페봄봄 남구청점
249,평리5동 유캔두잇 중리점
250,비산3동 이루팜 비산점
251,평리3동 민레스카페
252,평리5동 카페카리타스 서구점
253,내당3동 카페봄봄 대신점
254,상중이동 상미다방
255,평리6동 마시그래이 중리점
256,이천동 꽃라떼
257,비산1동 석류다방
258,평리3동 카페카리타스 서구점
259,혁신동 트롤리케이크
260,평리4동 카페인창고
261,평리6동 카페인창고
262,안심4동 카페5.0
263,대명6동 산마루다방
264,내당1동 MANY MAKE
265,비산1동 뜻대로카페
266,봉덕3동 미야
267,안심4동 달라크레페
268,이천동 카페생명나무
269,비산2동 케냐커피 평리점
270,봉덕2동 아이비
271,대명3동 캐럿커피
272,이천동 마농 대봉점
273,비산5동 유림커피숍
274,평리2동 YTD216
275,봉덕3동 소금카페
276,대명10동 말자커피
277,내당2동 마카다
278,평리2동 바모스(VAMOS)
279,비산4동 발사랑
280,내당4동 노랑하우스
281,비산1동 커피타나바
282,평리3동 카페루앤비 대구평리점
283,평리4동 마시그래이 중리점
284,대명10동 커피한잔도
285,비산5동 미소
286,평리6동 커피그리다
287,내당1동 카페인당
288,평리2동 카페밤비
289,이천동 큐샵
290,평리2동 이디야서 구청점
291,내당4동 퀸스퓨전
292,평리2동 카페인
293,내당2동 카페봄봄 대신점
294,비산1동 몬스터커피 비원점
295,평리5동 카페테리아
296,상중이동 구스켓인더크로 플 죽전점
297,비산4동 핸즈커피 서문2지구점
298,내당3동 코페아커피 서문시장점
299,대명6동 카페파인트리
300,내당1동 델라파체
301,대명1동 호미
302,봉덕1동 명다방
303,대명2동 레프트뱅크 교대점
304,비산3동 갈릴리호수카페
305,평리6동 예그리나
306,비산1동 씨어스 c-us
307,평리3동 대우다방
308,비산6동 날뫼카페아이스크림
309,내당3동 커피크릭
310,비산3동 카페나인원
311,비산7동 유리커피숍
312,평리5동 동양다방
313,봉덕2동 서진커피숍
314,내당4동 놈놈놈
315,대명9동 마리아쥬커피
316,봉덕2동 시류
317,봉덕1동 시류
318,평리5동 바닐라빌리지
319,평리6동 위치카페 평리점
320,봉덕2동 브렌치카페
321,비산3동 그랜마오븐
322,내당1동 카페오프닝
323,비산6동 오스카페
324,평리2동 카페테리아
325,평리3동 토마토커피숍
326,대명5동 번앤펀 영대병원점
327,안심4동 마고플레인비스타
328,평리1동 커피먼저
329,비산7동 땡칠푸드
330,평리6동 데일리니드
331,혁신동 티라레미수 대구혁신도시점
332,비산4동 원두
333,비산4동 분홍커피
334,대명1동 카페체크 대명점
335,혁신동 이디야커피 대구이노밸리점
336,대명10동 카페1593
337,내당4동 몬스터커피 감삼역점
338,평리1동 카페봄봄 대평리시장점
339,상중이동 해리스카페 대구의료원점
340,비산7동 다인커피숖
341,상중이동 로비로비
342,대명10동 구르메
343,상중이동 커피&버블
344,비산6동 온나다방
345,봉덕3동 화다방
346,대명1동 카페점보
347,봉덕1동 커피더쿠
348,비산2동 카고
349,상중이동 산다방
350,내당1동 만타식스
351,이천동 구구공 에스프레소바 대봉직영점
352,대명9동 댐퍼커피
353,봉덕2동 폰스
354,봉덕2동 물보다더조은물 대구본사
355,대명4동 더힐
356,내당2동 커피팀버 서문점
357,대명11동 설빙 대구서부점
358,대명2동 빌리브라운 본점
359,대명6동 몬스터커피 대명점
360,내당2동 코페아커피 서문시장점
361,비산5동 헬륨카페
362,봉덕1동 유이이유
363,비산4동 카페블레싱
364,대명9동 퍼스널스커피
365,비산2동 매스커피 서문점
366,비산7동 만평커피숍
367,대명1동 카페드롬
368,대명5동 카페2.28
369,대명3동 시실리
370,비산3동 크래프터갸또
371,원대동 구공카페 팔달점
372,대명2동 시애틀의 잠못이루는밤
373,대명5동 포프커피
374,내당3동 하이오커피 대구비산점
375,평리5동 유진다방
376,봉덕1동 쌍쌍커피
377,비산2동 이루팜 비산점
378,혁신동 와따멍
379,내당4동 다빈치커피 광장롯데시네마점
380,평리6동 카페이랑
381,안심4동 캠핑독
382,봉덕1동 별을품은아이
383,상중이동 초코마샹스
384,평리6동 다온스데이
385,대명2동 카메라타카페
386,봉덕3동 카페텀블루
387,대명11동 청다방
388,내당3동 핸즈커피 서문2지구점
389,평리4동 못난이커피
390,이천동 티라미스유
391,비산7동 금복다방
392,평리6동 카페카리타스 서구점
393,봉덕1동 카페휩
394,비산7동 오성
395,대명11동 메카
396,평리2동 카페로니
397,평리4동 오도커피
398,비산6동 알로하베이킹
399,비산7동 바리스타비
400,비산7동 청수커피숍
401,고성동 윌리커피 (멤피스커피로 상호변경)
402,비산7동 세운까페
403,평리4동 후문다방
404,원대동 마시그래이 팔달점
405,대명3동 명덕로88
406,상중이동 상리다방
407,이천동 킹콩쥬스앤커피 대백프라자점
408,비산2동 소피의커피테이블 서구비산동점
409,봉덕3동 핑크
410,비산5동 정다방
411,평리5동 러블리리본츄
412,고성동 핑크맨
413,비산5동 꿀벌다방
414,이천동 버터먹은붕어빵 이천점
415,비산6동 카페화이트레인보우
416,내당1동 플랜
417,이천동 빽다방 대구대봉점
418,봉덕2동 온오프 본점
419,대명11동 더리터 송현점
420,내당1동 홍실다방
421,평리5동 마루카페
422,내당2동 카페리즈
423,비산7동 울동네레스카페
424,비산6동 아비앙또
425,대명6동 투데이로스팅커피 대명1호점
426,대명11동 카페1593
427,비산6동 카모밀레
428,내당1동 덕자네커피
429,비산6동 브릿지커피
430,평리4동 카페카리타스 서구점
431,대명10동 로우시티
432,평리3동 날뫼카페아이스크림
433,대명9동 코지모먼트
434,비산5동 딸기다방
435,대명3동 쿠커피
436,원대동 발루토커피
437,평리1동 나우커피 대구서구비산점
438,평리6동 둥지레스카페커피
439,비산7동 스마일
440,평리4동 메종드림
441,혁신동 매스커피 신서혁신점
442,내당2동 설렘카페
443,내당3동 스타지오네
444,이천동 커피하우스
445,대명5동 요거트월드 대명점
446,비산1동 레브
447,평리4동 카페테리아
448,대명11동 이루팜 대명점
449,내당3동 WhiteRainbow
450,평리3동 까페로더
451,비산1동 투썸플레이스 대구원대오거리점
452,평리1동 마루카페
453,내당2동 더안카페
454,내당2동 커피앤번 서문시장점
455,비산3동 슈크레
456,대명10동 청솔로9 대명점
457,안심4동 꿀다방
458,비산7동 5.7다방
459,평리3동 카페인
460,대명10동 봄날
461,비산6동 카페클리어
462,봉덕3동 라움플라워카페
463,비산1동 몬스터커피 비산점
464,대명4동 금강다방
465,대명1동 플러시커피스탠드
466,비산3동 울트라커피
467,봉덕1동 브렌치카페
468,비산7동 핑크커피숍
469,원대동 앗다방
470,봉덕3동 커피더쿠
471,대명3동 펠리즈커피
472,봉덕1동 서진커피숍
473,대명9동 마실
474,평리1동 카페인
475,평리5동 레프트뱅크 서구청점
476,대명5동 이디야커피 대구대명동점
477,대명6동 매카
478,비산3동 카페쉼
479,비산6동 커피타나바
480,대명11동 석화다원
481,평리5동 까페예그리나
482,대명4동 마시다
483,대명5동 캔버스 영남이공대점
484,안심4동 릴스커피각산점
485,내당4동 브릭스
486,대명6동 어라운드
487,고성동 로비아네
488,비산3동 커피크릭
489,대명9동 카페유얼턴
490,평리3동 카페클리어
491,대명4동 요있찌(YOITZZY)
492,고성동 커피아지트
493,대명1동 카페빙수야 남구점
494,평리3동 사랑다방
495,혁신동 카페봄봄 신서혁신점
496,대명2동 28커피
497,대명5동 커피매거진 영대병원점
498,내당2동 카페더프리티
499,내당1동 투썸플레이스 두류공원점
500,이천동 카페청라
501,봉덕3동 붕디기
502,평리5동 카페이랑
503,비산5동 앵두다방
504,대명1동 에이치카페
505,평리6동 커피라니에
506,혁신동 옥산로스터리
507,비산4동 카페봄봄 서문시장점
508,봉덕1동 카페드로
509,대명1동 까또베이커리카페
510,안심4동 행운다방
511,대명5동 카페1052
512,봉덕3동 랑데부
513,대명10동 다온커피 카페
514,평리1동 커피주
515,대명4동 코브커피
516,고성동 히읗카페
517,비산6동 토마토커피숍
518,대명9동 피르스트커피로스터스
519,대명6동 소소우드
520,비산6동 커피크릭
521,봉덕2동 더벤티 대구봉덕점
522,대명5동 스테얼웨이투러브 영남이공대점
523,비산3동 커피먼저
524,고성동 더하당
525,대명2동 카페맥피
526,평리4동 더초이스카페
527,내당4동 어썸주스 내당점
528,대명1동 주전자
529,상중이동 630- 02-02351
530,대명1동 시그널카페
531,비산2동 카페마카다
532,대명1동 앞산밑북카페
533,비산4동 브릿지커피
534,대명10동 더리터 대명역점
535,비산5동 카페코나
536,평리1동 동백다방
537,평리5동 투샷커피
538,봉덕3동 갤러리커피
539,내당4동 카페엔
540,대명4동 앤하우스커피
541,대명6동 스미스로
542,내당4동 크로앙쥬 대구두류역점
543,내당4동 엔제리너스 대구광장점
544,봉덕2동 카페휩
545,비산5동 보석다방
546,상중이동 파이퍼랩
547,비산6동 지(G)블루브라운
548,대명9동 로우시티
549,평리1동 카페나인원
550,내당2동 이디야커피 대구대신중앙점
551,평리3동 도자카페채움
552,내당2동 카페유
553,평리6동 커피프리
554,평리6동 빽다방 대구서구청점
555,평리5동 투썸플레이스 대구신평리점
556,비산4동 서문
557,비산1동 사랑다방
558,봉덕1동 휩
559,대명2동 아티스트바이
560,안심4동 킨다스윗
561,내당3동 서문
562,내당4동 커피에썸탄듯 술에썸탄듯
563,내당3동 브릿지커피
564,대명3동 행복을찾아서
565,대명6동 가이아
566,비산3동 더디퍼
567,대명9동 어젠틀맨
568,대명5동 1972포포징
569,상중이동 신신다방
570,대명4동 빵장수단팥빵 카페소담 대명점
571,대명9동 플러시커피스탠드
572,내당4동 커피&버블
573,비산1동 오니카케이크
574,비산5동 명다방
575,비산4동 마시그래이 서문시장점
576,비산7동 지니레스카페&커피
577,봉덕3동 다빈치커피샵
578,대명4동 대명마을문화창작소 카페베아또
579,봉덕2동 커피라온
580,대명11동 커피한잔도
581,대명4동 그린페이스카페
582,대명3동 카페봄봄 대명시장점
583,봉덕3동 커피베테랑
584,상중이동 비리스타비
585,비산1동 오늘만다방
586,평리2동 스탠다드테이블
587,대명6동 핸즈커피 앞산점
588,원대동 동락다방
589,안심4동 카페블레스
590,비산3동 꿀벌커피숍
591,비산4동 제니스커피
592,평리6동 마루카페
593,이천동 빌라드모리
594,비산1동 슈크레
595,내당3동 슬립리스인시애틀 서문시장점
596,내당3동 오커피샵
597,내당4동 카페몰리스
598,대명2동 그릿
599,대명10동 비아또
600,대명10동 핸즈커피 써니킨점
601,평리2동 투샷커피
602,상중이동 소울메이트 평리점
603,평리1동 바모스(VAMOS)
604,이천동 대봉동 문
605,평리4동 투썸플레이스 대구신평리점
606,평리1동 카페인창고
607,평리5동 위치카페 평리점
608,내당1동 대구달서시니어클럽HalmiCafe
609,봉덕1동 카페시드
610,대명4동 핸즈커피 써니킨점
611,비산2동 민레스카페
612,대명1동 카페마마
613,대명2동 커피다라
614,고성동 리브레드카페 칠성점
615,내당3동 토프레소 대구서문시장점
616,대명1동 앞산커피하우스
617,안심4동 커피스테이지
618,대명9동 네이비그레이
619,봉덕3동 타쎄카페
620,비산2동 그랜마오븐
621,평리5동 커피마을
622,대명4동 캔버스커피 대명역점
623,비산5동 커피엔토스트
624,내당1동 모캄보 대구내당점
625,비산3동 맥커피숍
626,봉덕3동 카페은주
627,이천동 카페엘마르
628,비산2동 갈릴리호수카페
629,평리1동 오도커피
630,봉덕2동 설카페
631,봉덕2동 커피눔
632,내당2동 발사랑
633,대명10동 파가니니
634,대명6동 랩터커피웍스
635,대명11동 청솔로9 대명점
636,대명11동 가이아
637,비산3동 하이오커피 대구비산점
638,비산4동 트란퀼로
639,비산1동 청다방
640,대명2동 코지
641,원대동 유림커피숍
642,대명3동 줄라이모닝
643,대명11동 스미스로
644,비산6동 진보경커피숍
645,평리2동 카페인창고
646,봉덕1동 나랑노랑
647,내당1동 스탬프커피
648,비산4동 토프레소 대구서문시장점
649,대명10동 요있찌(YOITZZY)
650,대명3동 더벤티 대명계대점
651,비산4동 커피익스프레스
652,봉덕3동 명성커피숍
653,대명5동 자문커피숍
654,대명11동 새벽별
655,평리1동 레프트뱅크 서구청점
656,비산7동 민들레다방
657,평리4동 더벤티 대구두류이편한점
658,내당3동 빽다방 대구대신자이점
659,대명2동 화개제다청류다원
660,이천동 무인다방 건들바위역점
661,혁신동 감성커피 대구혁신도시점
662,대명5동 촉
663,고성동 백림다방
664,평리2동 카페클리어
665,내당4동 깔자매떡카페(CAFE)
666,대명11동 릴렉스
667,비산1동 핸즈커피 팔달시장점
668,대명4동 구공카페
669,봉덕3동 유아이유
670,고성동 타임
671,평리3동 블렉카페
672,대명4동 카페헤이미쉬
673,대명4동 구르메
674,이천동 이천동미미
675,평리5동 바모스(VAMOS)
676,봉덕1동 안동찻집
677,평리2동 바운드
678,원대동 플라워카페향기
679,대명6동 앵커커피팩토리
680,대명9동 카페봄봄 안지랑점
681,비산3동 몽구네애견카페
682,안심4동 윌크
683,대명5동 봉명동내커피 대구남구점
684,대명9동 카페평일
685,내당1동 St.22-6
