,카페이름
0,죽전동 까치다방
1,고산2동 다온
2,고산1동 아틀리에빈 사월점
3,유천동 커피라아
4,본동 커피신
5,감삼동 빈방
6,이곡2동 와룡문화커피
7,현풍읍 아침애식혜
8,화원읍 온오븐
9,상인2동 망원동티라미수 상인점
10,구지면 크로플덕오리아가씨 대구구지점
11,고산1동 푸푸커피
12,송현1동 정은레스카페
13,감삼동 장미카페 감삼점
14,현풍읍 더리터 현풍점
15,상인3동 꼬미당
16,옥포읍 마로니에
17,유천동 달
18,구지면 이디야커피구 지산단점
19,지산2동 차우림
20,범물1동 바우어
21,이곡2동 루체
22,본리동 커피나인 대구장기로
23,송현1동 구공카페 송현점
24,이곡2동 서로커피 이곡점
25,성당동 팔팔커피
26,용산1동 벨르마망
27,용산2동 훈카롱
28,상인2동 비티케
29,월성2동 더벤티 대구신월성점
30,죽전동 커피프렌드
31,현풍읍 핑거커피
32,상인3동 리리카페
33,가창면 카페상띠에
34,범물2동 빽다방 대구범물시티월드점
35,감삼동 띠아모커피 대구더열린병원점
36,다사읍 빽다방 대구다사세천점
37,옥포읍 오늘커피
38,다사읍 더벤티 대구서재점
39,지산1동 아트바소담
40,장기동 웜톤에스프레소바 WARM TONE ESPRESSO BAR
41,유천동 쁘렝땅
42,상인1동 그곳그집
43,용산2동 마마
44,두류2동 공's 커피 GONG's COFFEE
45,고산2동 오아
46,현풍읍 베이킹공방구쁨
47,두류1동 카페오늘은여기
48,죽전동 일신다방
49,장기동 래이데이커피
50,성당동 카페봄봄 본리점
51,구지면 기브온
52,현풍읍 듀엣위드유
53,장기동 카페달달
54,두류1동 달달스텝
55,고산2동 뜨락
56,지산2동 고바슨
57,용산2동 파스쿠찌 대구용산점
58,송현2동 굽는당
59,두류3동 그란데
60,지산1동 카페나루앤마트
61,송현2동 카페테라스
62,유가읍 돈키호테
63,두류1동 우분투
64,진천동 카페브릿지
65,논공읍 메르헨카페
66,지산1동 카페차차
67,가창면 폰타나커피
68,다사읍 더리터 대구죽곡점
69,두류1동 카페블랙
70,두류3동 SIS 두류공원점
71,고산1동 카페맑음
72,본리동 매화양과
73,송현2동 그린커피
74,두류1동 ddd커피
75,지산2동 미지로
76,지산1동 카페지봉
77,가창면 제주가는길
78,고산2동 페일블루닷
79,논공읍 쥬씨 옥포지구점
80,두류1동 공's 커피 GONG's COFFEE
81,구지면 카페솔례단길
82,용산2동 설빙 이곡점
83,범물2동 콤포티에
84,현풍읍 피컵요거트
85,지산2동 설빙 대구수성못점
86,상인2동 요거트월드 상인점
87,감삼동 깜카페
88,유가읍 벌크커피 현풍테크노점
89,송현2동 라테라스웨딩 카페라테라스
90,본리동 레오나렌
