사업장명,경도,위도,,
헤이트먼데이,128.548758,35.93044689,,
밀또카페,128.5399206,35.93480939,,
"카페,띠앗",128.6108628,35.89670909,,
플랜칠곡점,128.5570583,35.9439849,,
청솔로9침산점,128.5852968,35.88481827,,
스페이스무태(Space MuTae),128.5988227,35.9208317,,
감사드림프로젝트,128.5817942,35.88584724,,
네일앤(n)카페,128.555035,35.94702625,,
할리스경북대북문점,128.6087537,35.8926763,,
수플레르,128.5112645,35.90158752,,
꽃이피다동천점,128.5586418,35.93755356,,
빈스크라운커피,128.558546,35.94341604,,
프리프리커피,128.5897547,35.88507266,,
미앤미힐링티,128.5636407,35.93281469,,
더착한커피,128.5497353,35.93341534,,
봄봄엑스코점,128.612529,35.90526266,,
진카페,128.5668382,35.94831048,,
커피집온(ON),128.5701732,35.89208491,,
메르시일공사(merci104),128.5457761,35.92612407,,
카페청춘(cafe청춘),128.5448813,35.92964122,,
플랜어트립(Plan A Trip),128.6101145,35.90009451,,
커피온리&팔공티(경북대점),128.6096577,35.8855633,,
소응접실,128.5878275,35.89367936,,
누보폴레토(NUEVO FOLLETTO),128.5994361,35.87657683,,
피콜로라비타,128.5691817,35.93795753,,
이디야대구하중도점,128.5634885,35.90605488,,
커피명가엑스코점,128.6130195,35.90713304,,
요요작업실,128.5715173,35.94491266,,
모퉁이커피,128.5961722,35.91840886,,
"나의계절,봄",128.5468432,35.91004088,,
제이커피태전점,128.5451777,35.92463697,,
빠삐용,128.5827874,35.88086291,,
몬스터커피,128.5487092,35.93637828,,
하나비,128.5627483,35.90564278,,
오'브라이언(O'Brien),128.6127687,35.89646291,,
몬스터커피복현점,128.6181017,35.89635078,,
레프트뱅크(주)바이미,128.5901796,35.88944568,,
제스쳐커피,128.6046017,35.89237735,,
일리카페롯데백화점대구점,128.5955651,35.87605699,,
아마스빈침산점,128.5910894,35.88977363,,
바르바르,128.6111278,35.89527507,,
프라이스커피읍내점,128.5521691,35.93277769,,
커피랑도서관칠곡점,128.5488535,35.93736786,,
카페162,128.5441617,35.92069664,,
메이드바이아델라(MadebyAdela),128.6127259,35.88548681,,
유앤아이카페(U&I CAFE),128.6105175,35.89840461,,
치우친취향,128.5679057,35.9495803,,
컴포즈커피,128.5901796,35.88944568,,
