동명
지산1동
지산2동
범물1동
범물2동
고산1동
고산2동
고산3동
두류3동
본리동
감삼동
죽전동
장기동
이곡1동
신당동
월성2동
상인1동
상인2동
상인3동
도원동
송현1동
송현2동
본동
용산1동
용산2동
이곡2동
성당동
두류1동
두류2동
월성1동
진천동
유천동
화원읍
논공읍
다사읍
유가읍
옥포읍
현풍읍
가창면
하빈면
구지면
