,카페이름
0,감성커피 대구방촌점
1,퐁당
2,마실커피 율하점
3,이디야커피 대구이시아폴리스점
4,한독커피숍
5,커피데이
6,프로비던스
7,파랑새다방
8,룸즈에이 대구동성로점
9,오퍼커피 서문시장점
10,카페보스 신암점
11,만난상점
12,예그리나
13,러닝카페
14,핑크버블
15,카페1015
16,플라잉빵차
17,소지티룸
18,레터프롬
19,커피공식
20,카페소풍
21,리터킹 대현점
22,이디야커피 대구남산점
23,오올
24,디저트&티
25,몰타 이시아점
26,그레이스카페
27,앗다방
28,마일스톤커피앤베이커리
29,코코카페 동대구점
30,나봄
31,가든커피숍
32,이태리커피숍
33,올리버브라운 대구복현점
34,커피하우스
35,더플레이스카툰24
36,황금열쇠 동성로점
37,도리안그레이
38,탭플레이커피대구신암점
39,장화신은고양이
40,커피타임
41,봄날
42,복현동커피
43,덤럭
44,테로부
45,위카페
46,카페봄봄 율하점
47,카페봄봄 김광석골목점
48,까사넬로
49,미소꼬마김밥.노랑커피
50,랑데자뷰 대구동성로점
51,릴리하우스
52,떼아뜨르현
53,다온누리차향
54,룸즈에이 동성로2호점
55,이사빛
56,꽃하는언니 빵굽는동생
57,혜동
58,정미다실
59,헤드번팅커피
60,인더가든
61,미스터아메리카노
62,요거트렌디
63,아눅
64,카페밀리언
65,아미타
66,프린스
67,빽다방 대구방촌상명점
68,파스쿠찌 대구중앙로점
69,샌드록커피
70,코타커피
71,노스밴
72,스테이블모먼트 반석점
73,얌디저트
74,레이지모닝 동대구점
75,더쪽
76,마시그래이 동대구역점
77,서로의달
78,스위트수기
79,슬립리스인시애틀 서문시장점
80,몬스터커피 신암점
81,커인시던스
82,말그미옥상
83,구공이일공
84,빽다방 대구반월당현대점
85,힐링카페채움
86,스타벅스 대구봉무점
87,세미
88,크크.라니커피
89,더벤티 대구청라힐스자이점
90,에녹&고섶
91,약사커피숍
92,시즌카페
93,랩디 본점
94,윈썸
95,달아요
96,갓오브커피
97,커피왕 방촌점
98,카페손수
99,아침
100,빌라드모리
