,카페이름
211,검단동 더치앤빈 대구이시아폴리스점
212,황금2동 텐퍼센트커피 대구황금엘포레점
213,무태조야동 팔공티 동변점
214,대현동 디저트&티
215,두산동 커피왕 두산점
216,황금1동 카페조쿤
217,동천동 몰타 칠곡점
218,황금2동 요아정 황금동점
219,침산1동 불티다방
220,수성1가동 오가다 대구대백프라자점
221,황금2동 룰루블루
222,황금2동 모란이피기까지
223,복현1동 안커피
224,침산1동 메가MGC커피 대구침산점
225,침산3동 설빙 대구침산점
226,읍내동 동네커피 칠곡점
227,구암동 오직건강을담다
228,수성1가동 수연커피숍
229,만촌1동 카페꽃이피다 만촌점
230,수성3가동 모모리커피(MOMORICOFFEE)
231,산격3동 커피명가 신세계병원점
232,황금1동 쿠스커피
233,복현2동 은하수다방
234,산격1동 마이온룸
235,구지면 어썸데이
236,침산3동 커피아나
237,태전2동 모아나
238,범어3동 블루샥 대구범어푸르지오점
239,동천동 더벤티 칠곡운암역점
240,상동 카페제이제이
241,범어2동 안녕봄
242,범어4동 서로커피 만촌점
243,관음동 카페로뎀
244,검단동 드롭탑 대구메가맥스타워점
245,동천동 웁스
246,상동 카페아지트
247,칠성동 이화다방
248,산격3동 썸카페
249,산격4동 카페지뉴
250,구암동 카페포인트
251,황금2동 스탠바이미 황금점
252,침산3동 디저트부티크엠 대구북구
253,복현1동 카페느와르
254,수성2가동 제이콥아츠
255,칠성동 카페나난구루
256,산격3동 실버라운지
257,대현동 루다커피
258,수성4가동 틸더커피바
259,산격1동 엔제리너스 대구침산로점
260,대현동 키아누
261,만촌2동 페이지103
262,노원동 청담
263,범어1동 아티자나
264,검단동 커피명가 이시아폴리스점
265,침산2동 몬스터커피 침산점
266,중동 오하커피
267,범어3동 이디야커피 범어N타워점
268,검단동 그대때문에늘봄날
269,칠성동 주식회사 에스오코리아 븍구점
270,침산3동 요거프레소 침산푸르지오점
271,범어1동 노바디커피클럽
272,수성3가동 티앤트래블
273,범어2동 차를마시다
274,관문동 더미네랄까페 본사직영매천점
275,산격2동 상남자커피
276,복현1동 이디야커피 대구복현오거리점
277,산격2동 산격찜질카페 힐링
278,관문동 카페이로
279,구지면 수양다방
280,산격4동 매스커피 경북대점
281,만촌1동 나의인생커피
282,복현2동 다락방커피가게
283,수성4가동 카페베버
284,노원동 헬륨카페
285,관문동 상큼한남자들 사수동점
286,복현2동 팔공티 영진전문대점
287,구지면 꽃다방
288,중동 여가투고
289,산격4동 어썸주스
290,범어2동 핸즈커피 범어점
291,수성4가동 에쎄커피숍
292,관문동 공차 대구매천점
293,범어2동 커피자루
294,황금1동 아티자나
295,범어1동 봉명동내커피 대구범어점
296,태전1동 커피앤번 보건대점
297,범어3동 노란토끼
298,산격1동 몰타
299,산격1동 카페꽃이피다 침산점
300,범어3동 카페봄봄 청구점
301,구암동 앤카페
302,복현1동 커피장인 경대북문점
303,황금2동 눈에꽃
304,국우동 유캔두잇 대구칠곡점
305,칠성동 푸르츠볼
306,파동 덴스댄스요거트
307,범어2동 요얼쓰
308,범어4동 아웃스탠딩커피 현수점
309,관음동 히어앤나우
310,범어2동 카페(cafe) 개복치
311,범어4동 매스커피 수성구청점
312,구암동 그카페&스몰팩토리
313,수성2가동 온니두커피
314,대현동 달아요
315,만촌2동 텐퍼센트커피 대구만촌역점
316,만촌3동 이영갤러리카페
317,수성2가동 찬미레스카페
318,구지면 메종드마벨
319,구암동 아마스빈 대구칠곡점
320,산격3동 글로벌플라자 카페테리아
321,산격2동 에티엔
322,산격3동 카페달달 경북대점
323,태전1동 아마스빈 대구보건대점
324,침산2동 태평다원
325,산격4동 DUOMO
326,무태조야동 스페이스무태
327,침산2동 카페옹크
328,동천동 이크림
329,중동 천오백커피
330,범어1동 핸즈커피 수성3가점
331,수성3가동 티앤트레블
332,무태조야동 커피1번지
333,범어2동 가희
334,만촌1동 공차 대구만촌점
335,중동 모모리커피(MOMORICOFFEE)
336,읍내동 비스킷워크숍
337,수성1가동 더팬 대백프라자점
338,두산동 핸썸커피
339,산격4동 공차 경북대점
340,대현동 라이카브루어스
341,침산2동 카페봄봄 침산점
342,관음동 단케이크
343,대현동 카페비탈
344,범어1동 로즈마리
345,만촌3동 카페봄봄 만촌네거리점
346,태전2동 다도화
347,황금2동 마망카페 대구점
348,관음동 소디스에스프레소바 대구북구점
349,중동 오로라의다락방
350,범어3동 베오메오커피 대구범어점
351,상동 공주다육카페
352,산격1동 이디야커피 대구텍스빌점
353,동천동 나른한책방
354,상동 시공심
355,복현2동 팬카페
356,황금1동 빽다방 대구범어KBS점
357,검단동 디다카페
358,복현1동 모나코플레이스
359,관문동 청춘다방
360,산격1동 수야커피
361,대현동 아아커피
362,구지면 옥정카페&식당
363,범어1동 김진수로스터리카페 범어점
364,황금2동 스틸인더무드
365,범어4동 명품호두cafe
366,산격2동 스타벅스 대구복현DT점
367,복현2동 블랙디어카페앤펍
368,구지면 보타닉
369,태전2동 그레이스
370,동천동 더리터 칠곡메가박스점
371,수성1가동 과일콕 수성점
372,파동 윤선갤러리
373,산격4동 할리스 경북대북문점
374,만촌1동 눈꽃마녀 성원넥서스점
375,침산2동 요거프레소 대구삼성창조캠퍼스점
376,대현동 Rhema카페&기독서점
377,범어4동 이디야커피 대구범어두레점
378,두산동 프레키베이키
379,동천동 커피베이 대구동천점
380,만촌3동 씨에스루이스
381,침산2동 핏어펫
382,수성2가동 까페끌레임
383,무태조야동 마시그래이 연경점
384,산격1동 제스처커피
385,산격4동 로이노엘
386,복현2동 수야모커피
387,산격3동 카페봄봄 경북대점
388,범어2동 토스트카페마리 대구범어점
389,황금2동 인스토리
390,침산2동 에브리커피 침산점
391,복현1동 요요커피 복현본점
392,동천동 쿠잉
393,태전2동 푸루푸루 푸딩
394,동천동 로투스
395,침산2동 카페애하
396,동천동 아마스빈 대구칠곡점
397,만촌1동 느므
398,동천동 이디야커피 대구칠곡홈플러스점
399,수성4가동 메리포핀스
