,카페이름
0,켑트커피
1,바빈스커피 대구현풍점
2,공차 경북대점
3,디저트테이블냠냠
4,피키
5,더벤티 칠곡운암역점
6,카피토커피
7,라일락꽃피다
8,커피&크리에이터스
9,카페AA 칠곡점
10,메가MGC커피 대구칠곡3지구점
11,위트커피 연경점
12,대구커피숍
13,달동네과자점
14,카페보스 동천점
15,더주스마켓
16,이런커피
17,샘다방
18,영푸드
19,커피베이 경북대북문점
20,메가MGC커피 대구칠성동점
21,시베리안빙수킹&카페 황금점
22,테르커피
23,CM
24,사주카페나무
25,청솔로9 경북대점
26,위카페
27,덕산커피숍
28,커피장인 경대북문점
29,다방
30,진커피숍
31,더하당
32,하이오커피 침산점
33,갤러리커피
34,모모달
35,하중도카페
36,핸즈커피 동천점
37,카페051 대구구지아이비파크점
38,커피명가 어나더 랩
39,골목커피
40,라이프빈
41,동네커피 칠곡점
42,유엠엠커피(UMMCOFFEE)
43,힐리스커피
44,커피향을담다
45,르씨엘 대백프라자점
46,신천커피
47,루미에르
48,무비커피
49,라이카브루어스
50,카페다온
51,앙드쁠뤼
52,소소한행복
53,투썸플레이스 대구원대오거리점
54,커피온리 경북대대현점
55,카페인하우스
56,진흥다방
57,고바슨
58,나드리커피숍
59,모리
60,재재콤마
61,베오메오커피 대구범어점
62,문
63,이디야커피 대구범어경신점
64,미키마카롱
65,바람구름
66,슬립리스인시애틀 롯데캐슬황금점
67,디저트39 대구경북대점
68,커피패밀리 파동점
69,카페땡끝
70,로얄커피숍
71,청우커피
72,요거트월드 불로봉무점
73,카페조쿤
74,베이킷
75,더리터 담티역점
76,청춘
77,커피왕 금호사수점
78,제이커피 침산점
79,타라
80,마실
81,커피요
82,하이미쉬
83,아이엠커피 불로점
84,비포커피
85,몬스터커피 황금캐슬점
86,워니맘의봄봄
87,카페인(IN)
88,윤슬커피
89,요요커피 복현본점
90,홍콩다방 범어점
91,커피콩블랙빈
92,카페별자리
93,뚜뚜마카롱&디저트
94,스타벅스 대구침산DT점
95,카페제이제이
96,은커피숍
97,할리스 수성네거리점
98,흐름디저트바
99,블루미스티
100,명품다방
101,비아에스프레소클럽
102,마니
103,에이플레인
104,라포레
105,팔공티 영진전문대점
106,바라보다커피
107,ES커피
108,쉴만한물가
109,비엔나커피하우스 대구오페라삼정점
110,카페주레
111,과일콕 수성점
112,커피프렌즈(COFFEEFRIENDS)
113,마노
114,유니드커피
115,페이지17커피
116,캔버스연경점
117,제일구락부 만촌점
118,프롬시아
119,카페로뎀
120,알케미커피
121,카페론썸
122,루머팡 복현점
123,만복당
124,커피브레드
125,에쏘라인
126,스타벅스 수성리더스점
127,텐퍼센트커피 대구황금엘포레점
128,충의로 3
129,카페봄봄 수성못점
130,카페이로
131,모브
132,금산다방
133,라디카페
134,더리터 수성구청역점
135,핸즈커피 수성3가점
136,해리슨커피숍
137,할리스 대구팔달교DT점
138,카페모리
139,웰스프링
140,서로커피
141,차차커피
142,카페디쁘
143,목로카페
144,루반972카페
145,콤마
146,읍내다방
147,하삼동커피 대구수성점
148,도와커피
149,블랙디어카페앤펍
150,매스커피 경북대점
151,디저트39 복현아이파크점
152,힐링커피
153,과일창고앤디저트커피
154,플로떼 파티스리
155,카페트아르
156,쁘띠몽쉘
157,마실커피 복현점
158,홀썸커피
159,주식회사 씨씨스튜디오
160,플로리안
161,열매당
162,커피명가 엘림점
163,에녹커피 북구청점
164,알리스타케냐커피 대구범어네거리점
165,마시그래이 범어로데오점
166,초이크
167,다빛
168,테리커피로스터스
169,꽃다방
170,플랜 연경점
171,보보스
172,카페오아제
173,스테디커피 경대북문점
174,읍천리382 대구두산점
175,빽다방 대구칠곡팔거역점
176,카페솔례단길
177,더착한커피 칠곡점
178,나리꼬모 본점
179,틸더커피바
180,소리카페
181,카페아지트
182,요거트월드 대구수성점
183,오늘은 케이크데이
184,마젤빈티지&카페
185,티앤트래블
186,로얄다방
187,힐링카페
188,오가딕티룸앤카페
189,레프트뱅크커피 범어에일린점
190,텐퍼센트커피 대구수성1가점
191,파스쿠찌 대구칠곡3지구점
192,유림다방
193,홍다방
194,카페생활
195,벨빌베이크하우스
196,오마이바스켓
197,카페애하
198,카펠리체 이시아폴리스점
199,윗듀
200,새카만
201,텐퍼센트커피 대구범어도서관점
202,토스트카페
203,낮잔에밤별소
204,대봉동 문
205,영진도서관카페
206,카페점보
207,로지트 2호점
208,핸즈커피 들안길점
209,라임커피
210,제일다방
211,더리터 수성1가점
212,블랑카페
213,바루베이크샵
214,달보드레
215,요거트아이스크림의정석 황금점
216,드롭탑 대구연경점
217,타르트에반하다
218,극장문
219,룰루커피
220,드롭탑 대구두산위브더제니스점
221,몬스터커피 팔거역점
222,험블앤멈블
223,빽다방 대구팔달노원점
224,조모커피 범어본점
225,마시그래이 복현푸르지오점
226,카페홍시
227,아마스빈 경북대북문점
228,베이킹잇츠
229,탐앤탐스 대구수성못호반점
230,도시의봄
231,우리푸딩
232,카페봄봄 침산점
233,턴커피
234,헤세드
235,커피스타
236,마시그래이 침산점
237,플라워카페 봄
238,감프커피
239,레스트온선데이
240,몬스터커피 만촌점
241,하삼동커피 대구산격점
242,헬로파이
243,더미네랄까페 본사직영매천점
244,레프트뱅크 범어점
245,공다정
246,아이엠커피 서변점
247,땡스파파
248,사랑옵은
249,빈스쿱
250,커피명가 선스포츠점
251,빽다방 대구칠곡타운점
252,수평적관계
253,덴스
254,주식회사 에스오코리아 븍구점
255,어름 구지점U'rm 구지점
256,레몬
257,르카페
258,스타벅스 대구칠곡대로DT점
259,The미네랄까페
260,인디커피집
261,할리스 대구동천점
262,조조커피
263,썸머인스윗
264,예향카페
265,라라빈
266,스위트홀릭 본점
267,화이트고릴라커피
268,몬스터커피 칠곡3지구점
269,펫타임
270,오이구이
271,동남다방
272,더벤티 대구두산점
273,이디야커피 대구구지산단점
274,투썸플레이스 대구만촌점
275,헬륨카페
276,카페봄봄 영진전문대점
277,르샤흠
278,블루웨이(Blue way)
279,에이엣디 동변점
280,수에르떼
281,카페10cm
282,컴포즈커피 대구침산점
283,날쌘카페 범어점
284,라고디카페
285,마망카페
286,투데이로스팅커피 동천점
287,카페나무
288,플라워카페향기
289,노스페이스카페 대구수성점
290,체크인치즈
291,엘비씨 범어에일린점
292,더벤티 대구이시아폴리스점
293,쿠잉버터
294,그림책방여우네
295,더드림커피 대구복현아너스점
296,커피딜라이트
297,ITALIAN RED COFFEE
298,산울림
299,카페라온
300,만랩커피 연경지구점
301,밍듀까까
302,마실커피 경북대점
303,오직건강을담다
304,은하수다방
305,빌라드모리
306,몬스터커피 도남점
307,J트리커피
308,온니두 만촌점
309,투썸플레이스 대구칠곡3지구점
310,설렘카페
311,모모리커피(MOMORICOFFEE)
312,팔공티 대구구지점
313,텐퍼센트커피 대구침산점
314,공차 대구매천점
315,마시그래이 두산점
316,엽전레스토랑
317,젠틀슬로프
318,디저트블루
319,와와카페
320,카페 이야기숲
321,카페온
322,르씨엘 범어점
323,까사시끄레따
324,내미 코히
325,커피스타972
326,더드림커피 대구침산1호점
327,제이에이치솔트랩
328,블라인드멜론 북문점
329,꼬모맨션 칠곡점
330,할리스 대구침산네거리점
331,더샵코리아
332,에띠엔
333,500마일즈
334,마시그래이 만촌삼정그린점
335,카페0937
336,청솔로9 두산점
337,스윗베리
338,낫온리커피어반델리
339,텐퍼센트커피 대구범어태왕점
340,카페봄봄 칠곡 읍내점
341,요거트월드 대구금호점
342,몽산커피
343,탐앤탐스 대구들안길점
344,힙오커피
345,마그마힐링심리상담카페 태전
346,몰타 칠곡점
347,진짜할머니쥬스
348,카페담아
349,이디야커피 대구수성범어천로점
350,스타벅스 수성레이크점
351,로스팅스튜디오799
352,수니커피
353,헤이트먼데이
354,레나
355,블루카페
356,팜테이블 수성못점
357,미엘
358,오아
359,마시그래이 연경점
360,매스커피 칠곡3지구점
361,옥정카페&식당
362,시카고라이브뮤직
363,소마커피
364,더드림커피
365,예가체프앤빙
366,달카롱
367,설빙 대구경북대점
368,보케르 범어점
369,카페놀
370,빽다방 대구침산점
371,부다
372,코드이스케이프 대구본점
373,비행기카페
374,커피명가 효성병원점
375,카페누구나 범어점
376,어썸브루커피
377,라온커피
378,모두의카페다다름
379,예쁜카페
380,토스트카페마리 대구범어점
381,보드레
382,차마을다향
383,커피베이 대구칠곡점
384,커피는책이랑
385,메가MGC커피 대구보건대점
386,하삼동커피 연경중앙점
387,매스커피 범어역점
388,아인슈페너
389,분더브레드 범어점
390,달트카페
391,2고카페
392,이디야커피 수성못점
393,뷰인마인드
394,리코쿠키
395,도그리치
396,다람이곳간
397,레이지모닝 수성아리아나호텔점
398,나우커피 대구보건대점
399,카페위 대구교육박물관점
400,칠성펀카페
401,카페(cafe) 개복치
402,카페티맑은 엑스코점
403,요거프레소 대구삼성창조캠퍼스점
404,카페204
405,더리터 복현아이파크점
406,다온
407,도어룸나인커피
408,J&F
409,요거프레소 대구연경점
410,복숭아다방
411,메르시일공사
412,더브릿지투
413,어썸데이
414,별들의다방 대구침산점
415,크로플덕 오리아가씨 대구구지점
416,카페라이
417,카페 폴
418,만난상점
419,몬스터커피 범어점
420,올가빈커피
421,오하커피
422,카페 훗
423,천오백커피
424,힐링카페채움
425,미스앤칩스 보건대점
426,타샤커피
427,팔공티 경북대북문점
428,샌드선샤인
429,카페씨씨
430,멍뭉몽
431,소응접실
432,다천산방
433,커자타커피
434,더리터 경북대점
435,오하브플레르
436,레프트뱅크 화인탑점
437,카페봄봄 범어점
438,폴바셋 롯데백화점대구점
439,트리플에이 대구구지점
440,공차 대구만촌점
441,룰루블루
442,반도커피
443,캔버스커피 대현점
444,영7080라이브
445,빈스크라운커피
446,까페하라
447,올제커피
448,꽃을담다
449,크로스워크
450,크라운
451,스무디킹 이마트24범어로데오점
452,소스엔니
453,카페하즈
454,커피홀 대구사수점
455,무인카페칠리노 대구1호점
456,빽다방 대구칠곡학정점
457,불티다방
458,나우커피 대구동변점
459,까페바우
460,소복담
461,헬리빈커피 경대북문점
462,카페콤마
463,안전제일구역
464,씨에스루이스
465,카페포켓
466,카페내추라
467,그카페&스몰팩토리
468,멜티드
469,하삼동커피 대구 동천점
470,카페칠성
471,마시그래이 신암점
472,카페봄봄 연경점
473,핸즈커피 성북교점
474,다푸르타 수성점
475,커피커뮤니티
476,카페블랑
477,만남다방
478,로비
479,만촌3
480,올드캐슬
481,읍천리382 대구칠곡점
482,더카페아리아 범어점
483,카페보스 대구구지점
484,엔제리너스 대구침산점
485,덴스댄스요거트
486,옐랑옐랑
487,테오카페바이트
488,카페 비비디
489,팬카페
490,주블리
491,반달커피 대구칠성침산점
492,살랑커피
493,커피를심다
494,카페나난구루
495,모란이피기까지
496,일프로커피
497,커핏
498,플랜 침산점
499,더리터 동서변점
500,마크커피
501,카페클레오파트라
502,요거트월드 경북대점
503,러닝카페
504,카페더시즈
505,오터커피
506,행복
507,봉명동내커피 대구경북대점
508,더리터 대구대현점
509,엘아르카 스텔라 수성점
510,명덕빵앗간
511,데니스커피 수성점
512,촌실빵실살롱드테
513,매스커피 황금점
514,데우스커피
515,선한언덕
516,하나비
517,위치스43
518,청담커피 만촌점
519,루아커피
520,청솔로9 대현점
521,투썸플레이스 대구수성1가점
522,아틱카페
523,유영
524,온디맨드
525,호미다방
526,슈미제
527,써니카페
528,비스킷워크숍
529,류커피로스터스 범어점
530,위트커피
531,나비다드481-1
532,트루베카라멜리에
533,킹콩쥬스앤커피 대백프라자점
534,커피집온
535,이디야커피 범어N타워점
536,커피바스켓
537,커피에반하다 대구동아아울렛점
538,드래곤
539,뜨락카페
540,장원택라이브
541,채플린
542,카페더로즈 아리아바이손수
543,2포인트커피
544,카페372
545,할리스 범어천로점
546,플리에
547,눈꽃마녀 성원넥서스점
548,커피읽어주는남자
549,프로나운커피
550,더포켓
551,커피디
552,티앤오
553,님에게
554,하삼동커피 대구두산점
555,수커피의류
556,1L맥스커피
557,카페옹크
558,수야커피
559,김군커피
560,리즈카페
561,믹스커피
562,모비딕
563,구암동김양커피
564,인생카페오구오구
565,드롭탑 대구메가맥스타워점
566,드롭탑 대구병원점
567,북두칠성
568,인아워타임 대구범어점
569,반반다방
570,카페나우
571,위트커피 구암점
572,멜트그라운드(Meltground)
573,마시그래이 현풍구지점
574,무제커피
575,가희빈
576,스타벅스 대구만촌DT점
577,커피봉봉
578,추억스케치
579,설렘커피 본점
580,LP뮤직바 아날로그
581,별에서온커피
582,바바빈
583,두루카페
584,할리스 경북대북문점
585,딥딥딥
586,링넛
587,마카롱킹
588,카페인중독 대구칠곡점
589,아이엠폴
590,크로플덕 오리아가씨 칠곡점
591,달리는커피 대구읍내점
592,플레이스23
593,카페리체
594,그랜디스
595,퀸레스카페
596,카페꽃이피다 침산점
597,웁스
598,레드애플 롯데아울렛이시아폴리스점
599,잇츠
600,쿠잉
601,카페캔즈
602,원드링크사랑
603,던킨
604,카페예현768
605,정스커피
606,모해커피
607,이디야커피 대구범어두레점
608,겐조
609,꿈꾸는다락방
610,수플레르
611,까페다움 복현점
612,노블리비아
613,꾸키상점
614,카페J
615,커피자루
616,몬스터커피 침산점
617,카페봄봄 수성대점
618,보틀플라이
619,홀즈
620,도도슬라임 대구본점
621,스타벅스 대구칠곡읍내DT점
622,지평
623,카페콘크리트 수정점
624,이끌림스터디카페
625,바로닐
626,몬스터커피 복현점
627,와플앤커피
628,밭
629,투썸플레이스 대구엑스코점
630,구수하니 팔달점
631,카페몽글다
632,투썸플레이스 대구범어점
633,시선2
634,슬라임파티
635,차를마시다
636,카페봄봄 만촌 삼정그린코아점
637,휴노
638,대림다방
639,찬미레스카페
640,투썸플레이스 대구고성3가점
641,장미다방
642,페피토
643,더리터 수성4가점
644,마가렛루멘
645,카페162
646,더블유콜렉션
647,구떼
648,까페빈
649,ampm커피
650,옴브레(ombre)
651,품공방카페
652,제리집
653,커피에반하다 대구산격점
654,퀸즈커피
655,향
656,헬로우어게인 대구태전점
657,카페이층공작소
658,텐퍼센트커피 대구만촌역점
659,카페아리엘
660,청담커피
661,컴포즈커피 대구동천점
662,그라찌에 수성대학교점
663,데이데이
664,플라낭
665,골든게이트
666,커피케이지
667,애니타임
668,탐앤탐스 대구강북마루점
669,커피와만남
670,컴포즈커피 대구학정점
671,프레임웍스커피
672,벌크커피 칠곡점
673,블루샥 대구범어푸르지오점
674,카페우스리
675,카페라고
676,온니두커피
677,멜리나
678,플라워코코
679,파스쿠찌 대구칠곡태전DT점
680,공차 대구복현점
681,수고했어오늘도
682,토카커피
683,아델라인 황금점
684,워크업커피
685,카페봄
686,범어1번가카페
687,블루벤치
688,댕스미스
689,앤이랑커피
690,호두나무 수성점
691,단지커피
692,요거트월드 대구칠곡점
693,7PM
694,아웃스탠딩커피 상효점
695,카페봄봄 동서변점
696,다실 로버
697,크로플의정석
698,쿠킹놀이터
699,할로커피
700,양지다방
701,커피왕 두산점
702,카페바스
703,하루에
704,카페봄봄 북부정류장점
705,헥스디저트랩
706,카페봄봄 대구범어역점
707,예전커피숍
708,그라찌에 수성대학교 젬마관점
709,그대때문에늘봄날
710,선데이무드
711,카페달달 경북대점
712,파스쿠찌 대구동서변점
713,앙버터데이
714,로얄커피
715,5후
716,다홍연화
717,아날로그
718,더블랜드
719,뷔프루타 본점
720,몰로 MOLLO
721,디다카페
722,브리니 범어
723,로우동인
724,카페봄봄 북구청점
725,롤로
726,핑퐁커피 두산점
727,카페토디
728,이디야커피 대구텍스빌점
729,몬스터커피 비원점
730,스펠 이시아
731,발트
732,도로시
733,슬립리스인시애틀 침산푸르지오2차점
734,퍼플립스커피
735,마셔봐야알겠죠
736,미사리라이브
737,반딧불
738,스타벅스 대구유통단지점
739,어바웃스튜디오
740,레코디안
741,구르메
742,차마고도
743,국립대구박물관 카페
744,몬스터커피 동천점
745,보물350
746,핸썸커피 범어점
747,이디야커피 고성점
748,핸즈커피 수성못점
749,잼잼박스
750,카페드림 경북대학교복지관점
751,춘강다방
752,플랜 칠곡점
753,모나크
754,카페봄봄 경북대점
755,카페파리도시
756,달리는커피 대구산격1호점
757,쪼쪼타운
758,카페느와르
759,더드림커피 읍내점
760,헬로어게인 대구복현점
761,라심
762,제로테이블
763,1997빠리커피&브레드
764,반짝반짝빛나는 본점
765,자메이카카페
766,힉스 구암점
767,스트릿캔 칠곡점
768,드롭탑 대구동서변점
769,애드업
770,어뮤즈
771,샌타바버라
772,비밀의화원
773,브랜치카페
774,말랭이
775,요거프레소 대구산격점
776,나의 계절 봄
777,다이브
778,태평다원
779,카페철스
780,시공심
781,설빙 대구신천점
782,카페C탐
783,카페꽃이피다 만촌점
784,공차 대구칠곡점
785,바삭
786,플러스공방&카페
787,모모커피
788,롤리데이
789,커피왕 불로점
790,스타벅스 대구칠성이마트점
791,전세계과일
792,어펙션
793,카페비탈
794,설렘커피칠곡점
795,카페수성
796,무인다방 범어힐스테이트점
797,할리스 대구침산점
798,쇠네스 대구칠곡점
799,빽다방 대구복현네거리점
800,카페루앤비 경북대점
801,스타벅스 대구수성호수R점
802,이리와
803,더치앤빈 대구이시아폴리스점
804,로드59
805,나봄플라워카페
806,샘터루
807,오퍼커피
808,기림갤러리
809,커피본
810,스위트가든&카페스위트
811,누보폴레토
812,안시프랑스
813,스틸인더무드
814,올리브카페
815,유캔두잇 대구칠곡점
816,밥스딜라잇 수성점
817,오니카케이크
818,수정커피숍
819,엔터커피샵
820,아이런
821,빠르띠로
822,스탠바이미 황금점
823,에이치티 대구황금동점
