,카페이름
0,청솔로9 동구점
1,멜로우
2,우지현의 꽃차공감
3,석류다방
4,스타지오네
5,헬륨카페
6,칼터커피
7,모닝커피
8,빈커피
9,라니밍
10,소피의커피테이블 서구비산동점
11,동원다방
12,레이트피엠
13,크로앙쥬 대구두류역점
14,구구공 에스프레소바 대봉점
15,금강다방
16,은하다방
17,브루키
18,데어오스텐
19,커피눔
20,아담브릿지
21,가인다방
22,봉명동내커피 대구남구점
23,경아다방
24,쏘울메이트(SOUL MATE) 평리점
25,은하수다방
26,1리터 맥스 두류점
27,교대커피
28,이디야커피 대구대명동점
29,모두가콤마
30,카페허니비
31,서신다방
32,스타벅스 대구두류DT점
33,제이베리
34,더초이스카페
35,덴스크
36,매스커피 침산점
37,핑크맨
38,포프커피
39,몬순
40,비쉬란티
41,스탠다드테이블
42,크래프터갸또
43,오커피샵
44,코헨커피
45,리비
46,블라인드멜론 졸리루어점
47,이디야커피 대구서구청점
48,레프트뱅크 서구청점
49,더커피(THECOFFEE)
50,카페문득
51,위치카페 평리점
52,커피다라
53,카페바니
54,화다방
55,포밍고
56,향수커피숍
57,팔라우 2호점
58,서울메이트
59,진다방
60,커피먼저
61,오이커
62,매스커피 대신남산점
63,별책다방
64,수향
65,브릿지커피
66,로코모티바101
67,카페051 대구삼익뉴타운점
68,상리다방
69,카페게이트 대구혁신점
70,까페로더
71,요거잇
72,반짝콩
73,스테이어
74,안도
75,카페아늑
76,카페알로
77,카페봄봄 신기점
78,파스쿠찌 대구칠호광장점
79,매스커피 서문점
80,스위트무드
81,St.22-6
82,카페위 대명동점
83,카페파인트리
84,릴렉스
85,신신카페
86,함COFFEE
87,주원카페
88,앞산밑북카페
89,다인다방
90,빌리브라운 본점
91,오르다카페
92,카페보스 대명1호점
93,"카페, 휘월"
94,카페1593
95,카페점보 달서점
96,설빙 대구서구청점
97,엔제리너스 대구광장점
98,빽다방 대구서부정류장역점
99,대봉상점
100,네이비그레이
101,미스터브리즈커피 대구혁신도시점
102,케이클래스커피 노원점
103,카페체크 대명점
104,블렉카페
105,다빈치커피 대명마루점
106,백금당
107,카페인중독 대구각산점
108,스타벅스 대구앞산DT점
109,식물가게온화
110,카페봄봄 북구청점
111,카페블레싱
112,하삼동커피 평리지점
113,골목커피
114,컴포즈커피 대구두류역점
115,다람이곳간
116,포도다방
117,두스마일
118,투썸플레이스 대구신서이노밸리점
119,사월보름
120,원파인트리
121,서문다방
122,거성커피숍
123,리프컴퍼니
124,제일다방
125,오프닝카페
126,공간빈둥빈둥
127,카페오슬링(Osling)
128,온오프 본점
129,일신다방
130,더안카페
131,남양커피숍
132,헬로우
133,추카페
134,성원다방
135,카페빌라주
136,그레이스
137,신성커피숍
138,땡칠푸드
139,퀸레스카페
140,민월재
141,사람이야기
142,대구다방
143,달다
144,그로잉
145,커피방정식
146,텐퍼센트커피 대구교대하늘채점
147,커피&누룽지
148,이디야 비산점
149,MNS커피
150,수앤청
151,세컨드블럭
152,라지트
153,온도
154,다인커피숖
155,써니쓰스위트투쓰
156,윤스
157,블루나인
158,금상첨화
159,대지다방
160,릴스커피각산점
161,콤마투엔드
162,라움플라워카페
163,모토
164,아틀리에빈 혁신대림점
165,카페헤이미쉬
166,카페제이나인
167,별을품은아이
168,카페 캐피툴라
169,탑리터 혁신점
170,카페시드
171,트롤리케이크
172,미스터힐링카페 대구혁신도시점
173,하이오커피 대구비산점
174,주전자
175,오늘여기
176,1972포포징
177,이나커피
178,카페인
179,세종다방
180,페이보릿카페
181,무인커피공장
182,로랑
183,카페봄봄 대신점
184,커매진로스터스
185,무인카페
186,커피매거진 영대병원점
187,커피집온
188,둥지레스카페커피
189,그린커피숖
190,카페평일
191,요거프레소 침산푸르지오점
192,트리플에이카페
193,파스쿠찌 대구대명역점
194,카페재충천
195,카페봉봉
196,어썸주스 내당점
197,오브제커피하우스
198,아눅앞산
199,카페트리
200,딜리저트 송현점
201,광명커피숍
202,갈릴리호수카페
203,경아커피
204,탱크
205,소예루
206,은다방
207,그란데커피(Grande Coffee)
208,행복을찾아서
209,별들의다방 북부정류장점
210,앵커커피팩토리
211,카페봄봄 각산점
212,카페달달
213,한일다방
214,아고아 커피팩토리
215,무드부스터
216,유정다방
217,YTD216
218,알록꼬
219,꽃들레레스
220,스타벅스 대구평리DT점
221,명문커피숍
222,네쥬
223,그리핀
224,태왕레스
225,커피라니에
226,모던라이브
227,루비커피숖
228,울동네레스카페
229,소금카페
230,카페블레스
231,카페봄봄 대명시장점
232,행복한샘물
233,카와올라
234,비아또
235,투썸플레이스 대구원대오거리점
236,카페 리브라
237,메카
238,프리독
239,마시그래이 서문시장점
240,바모스(VAMOS)
241,이디야커피 대구드림병원점
242,카페큐브
243,랩터커피웍스
244,마시그래이 팔달점
245,케이클래스커피 본점
246,마농
247,좋은날
248,마실
249,민들레레스카페
250,킹콩쥬스앤커피 대백프라자점
251,카페비
252,민레스카페
253,돈애오라지
254,커피베이 대구각산점
255,아이아이오
256,오니카케이크
257,덕영커피
258,모모라카페
259,에그무인카페
260,카페은주
261,낯선익숙함
262,마켓메이커
263,커피판다
264,스타벅스 대구영대병원역DT점
265,토닥이다
266,해바라기다방
267,세문다방
268,카페봄봄 비산점
269,프렌네
270,카페모비딕
271,파인힐라이브카페
272,도자카페채움
273,우토리
274,봉명동내커피 대구혁신점
275,송우카페
276,청솔로9 대명점
277,읍천리382 대구본점
278,송이다방
279,산다방
280,깔자매떡카페(CAFE)
281,커매진에스프레소
282,김진수로스터리카페
283,피크니끄
284,만평커피숍
285,연레스카페
286,인카페
287,테리커피로스터스
288,구르메
289,홍다방
290,디어스윗
291,더리터 신서혁신도시점
292,나우커피 대구서구비산점
293,신신다방
294,카페하루
295,조이앤제이
296,테리카페
297,가연레스카페
298,코지
299,E2
300,프라이스커피 대구봉덕점
301,커피1994
302,카페루앤비 대구평리점
303,인디안
304,티라레미수 대구혁신도시점
305,앞산커피하우스
306,카페노브
307,그다방
308,카르투시아
309,류커피
310,씨어스 c-us
311,디웨이브
312,가비뜰
313,진커피도넛
314,행운다방
315,카페유얼턴
316,Wilk
317,설빙 대구서부점
318,메종드샤베르
319,커피상점국화원
320,슬립리스인시애틀 서문시장점
321,지니레스카페&커피
322,다온스데이
323,희동이네
324,정찻집
325,메이드바이헬로우
326,러블리리본츄
327,달콤하루
328,빽다방 대구대신자이점
329,미인투커피숍
330,발루토커피
331,카페더치앤빈
332,갤러리커피
333,구구공 에스프레소바 대봉직영점
334,카페사계
335,홍주다방
336,모캄보 대구내당점
337,공차 대구혁신도시점
338,시선9
339,스테이인
340,매스커피 각산혁신점
341,다원
342,토마토커피숍
343,커피나라
344,카페마리안느
345,청향커피숍
346,꾸덕꾸
347,오 그레이
348,매머드익스프레스 대구신서혁신점
349,황제다방
350,청구커피숍
351,오프더스트릿
352,카페 림
353,빠삐용
354,커피에썸탄듯 술에썸탄듯
355,블루블루스 교대점
356,마스가토
357,커피한잔
358,핸즈커피 써니킨점
359,디아이와이우드
360,푸딩구루
361,낙조다방
362,커피아지트
363,바닐라빌리지
364,정다방
365,스타벅스 대구광장점
366,조은레스카페
367,공's 커피 GONG's COFFEE
368,리얼라이즈카페
369,카페봄봄 안심점
370,리브레드카페 칠성점
371,가이아
372,더리터 팔달노원점
373,다올
374,매그놀리아
375,로일당 카페
376,데그커피
377,카페로니
378,빨간우체통
379,스위트
380,천년레스카페
381,미르커피
382,루미에르
383,나루터레스카페
