,카페이름
305,레프트뱅크 상인점
306,릴리하우스
307,그릿 상인점
308,아마스빈 대구보건대점
309,릴렉스
310,데이지
311,달콤커피 대구국제공항점
312,아베끄
313,카페피넛
314,투데이로스팅커피 내당점
315,에스테반
316,캣독
317,국립대구박물관 카페
318,카페스테이
319,헤이트먼데이
320,1972포포징
321,피크니끄
322,제로테이블
323,마커스커피
324,지몽
325,팍스카페재즈
326,시월보름
327,로드커피
328,퀸즈브라운 대구동촌역점
329,라라카롱
330,풍요디저트카페
331,카페아미
332,커피랑도서관 대구죽전점
333,카페온오프 동구점
334,마시그래이 혁신새론점
335,땡칠푸드
336,텐퍼센트커피 대구대실역점
337,카페 훗
338,오터
339,오후세시
340,파란자전거
341,향
342,더리터 구지점
343,말자커피
344,핸즈커피 범어점
345,빈스커피
346,꿀리
347,카페봄봄 테크노폴리스점
348,큐바이쿼트
349,분더브레드 범어점
350,별에서온커피
351,커피아나
352,카페봄봄 영진전문대점
353,꽃하는언니 빵굽는동생
354,느루
355,디데이492
356,넌테이블
357,마사커피 용산점
358,오도씨
359,유영
360,카페낙원
361,나우커피 강촌점
362,가든커피숍
363,펠리츠
364,동구다방
365,주원카페
366,소울메이트 평리점
367,메가MGC커피 대구두류역점
368,파스쿠찌 대구신평리네거리점
369,카페맥피 죽전점
370,라이브카페비바다비
371,말카커피
372,초야월
373,카페콤마
374,라일락꽃피다
375,스타벅스 대구성서IC DT점
376,성원다방
377,스테이인
378,몬탁에서 만나
379,카페인중독 대구동구청점
380,엘모 상인점
381,이디야커피 대구신암로점
382,거성커피숍
383,공차 대구월성점
384,The미네랄까페
385,할리스 대구본리점
386,델리쇼콜랑쥬 호텔인터불고엑스코
387,커피부라노
388,설레임
389,더드림커피 대구침산1호점
390,감성커피 유천점
391,라디카페
392,까페라파 라파청
393,메이크어턴
394,읍천리382 대구시지점
395,던커피(Done Coffee)
396,카페셀렉트
397,다온스데이
398,커피맛을조금아는남자 본점
399,마실커피 상인점
400,아비아채
401,슈퍼커피 대구테크노폴리스점
402,스타벅스 대구228중앙공원
403,더와이즈
404,매머드익스프레스 대구상인점
405,차차커피
406,카페바인
407,콤마투엔드
408,페어리피타
409,레스트커피룸
410,정다방
411,식스에비뉴
412,버터석
413,카페818
414,잼이과자점
415,카페 리브라
416,파스쿠찌 대구강정고령보점
417,보람베이킹카페
418,커피&버블
419,명성커피숍
420,캔버스연경점
421,스미스로
422,1981카페
423,해리스카페 대구의료원점
424,카페봄봄 남산점
425,라온제나
426,키토생활
427,오퓰런트
428,생짠카페
429,오슬로
430,커피에썸탄듯 술에썸탄듯
431,더벤티 대구청라힐스자이점
432,르아쇼
433,쌍도커피
434,카페스타디움
435,대구 메리어트호텔&레지던스 로비라운지
436,블렉카페
437,청춘
438,드롭탑 대구3지구점
439,쉼표플라워앤카페
440,또리커피 수성점
441,로스팅팟츠
442,피아노포르테
443,아리스타커피 대구서문시장점
444,웁스
445,호안느
446,스트롤커피
447,이디야커피 대구대명동점
448,카페파리도시
449,동원전통차
450,카페두다트 동대구환승터미널점
451,베스트트레이딩
452,모모달
453,카페70도씨 이곡점
454,카페2022
455,마실커피 경북대점
456,이끌림스터디카페
457,백림다방
458,사월보름
459,카페도도
460,그대때문에늘봄날
461,다옴커피
462,자메이카빈
463,빽다방 경북대정문점
464,빽다방 대구서부정류장역점
465,동방다방
466,정운다방
467,노천사랑방
468,해머스미스커피 대구수성점
469,설빙 대구성서계명대점
470,엔제리너스 논공휴게소 대구방향점
471,던킨
472,사랑채 범어점
473,학다방
474,아드리아
475,카페조쿤
476,카페또보아
477,더리터 대구진천역점
478,카페봄봄 상인점
479,카페 꽃이피다 동천점
480,그다방
481,카페콰이트
482,카페리부트
483,바리스타비
484,커먼
485,카페온니담
486,래커
487,오 해삐케이크
488,너에게간다
489,에렌델
490,퓨로쥬스 대구용산점
491,탑리터 칠곡점
492,투썸플레이스 대구신서이노밸리점
493,썸커피
494,카페루앤비 경북대점
495,카페지지씨
496,오성
497,블레스유
498,어노잉
499,토스트라이크
500,쿠스커피
501,홈인팜스
502,뮤직카페M
503,청솔로9 시지점
504,자작스터디카페 옥포점
505,씨제이프레시웨이
506,스타벅스 대구성서점
507,디저트39 대구 침산점
508,수목다방
509,수다카페
510,까페앨리스
511,진커피도넛
512,갓샐러드 시지점
513,연레스카페
514,데이스터디카페 현풍센터
515,오우야 에스프레소바 대구점
516,카페봄봄 각산점
517,BLT
518,스테이골드
519,몬순
520,더리터 대구혁신점
521,마카롱킹
522,벌컥커피 직영점
523,핸즈커피 성북교점
524,푸푸커피 칠곡점
525,12파운드 효목점
526,오하브플레르
527,드림셀러
528,구수하니 팔달점
529,몰타 범어점
530,샘다방
531,다방
532,다빛
533,매스커피 황금점
534,통일다방
535,신신다방
536,혜윰커피
537,커피1번지
538,하나다방
539,카페자매집
540,너머
541,봉데세르
542,새벽별
543,로즈마리
544,팔공티 영진전문대점
545,카페샌프란시스코
546,카페77
547,산다방
548,요거트월드 대구금호점
549,아울스튜디오
550,1L맥스커피
551,대동커피
552,폴바셋 대구신세계백화점2호점
553,청솔로9
554,개나리다방
555,커피볶는다락방
556,카페051 대구서부정류장점
557,분홍카페
558,웜톤에스프레소바 WARM TONE ESPRESSO BAR
559,대퍼카페
560,끌림카페
561,만랩커피 연경지구점
562,모캄보 대구삼덕점
563,28커피
564,반달커피 대구칠성침산점
565,디저트39 다사대실점
566,영남다방
567,단디
568,비엔나커피숍
569,카페놀이터
570,로맨스빠빠
571,우미우미
572,원디렉션
573,영미레스카페
574,달콤블리
575,다다18
576,8아워즈
577,청솔로9 두산점
578,덕영커피
579,이디야커피 대구설화명곡점
580,마실커피 테크노폴리스점
581,하이멍뭉
582,몰타 칠곡점
583,이디야커피 대구대신중앙점
584,더진스커피 범어점
585,남산올래까페
586,환다방
587,핸즈커피 팔달시장점
588,히어앤나우
589,금복다방
590,파스쿠찌 대구용산점
591,비원휴카페
592,커피스미스
593,댄싱컵 신월성점
594,설빙 대구서구청점
595,퀴르
596,동서커피숍
597,브루앤미
598,스테이550 동촌유원지점
599,행운다방
600,호커피숍
601,카페퀸즈
602,달달샤르레
603,온새미로커피
604,동건커피&빌리아드
605,로스팅아울
606,드롭탑 대구동서변점
607,맘쓰랩
608,이디야커피 고성점
609,989라운지
610,단내음
611,포르테커피
612,슬립리스인시애틀 스파밸리점
613,부부다원
614,에그오
615,몬스터커피 대구연경점
616,레이지모닝 상인점
617,커피베이 대구각산점
618,팔공티 이마트반야월점
619,카페드올라
620,테이크인
621,커피하우스
622,낯선익숙함
623,J&F
