,카페이름
0,감성커피 대구방촌점
1,퐁당
2,마실커피 율하점
3,이디야커피 대구이시아폴리스점
4,한독커피숍
5,커피데이
6,프로비던스
7,파랑새다방
8,룸즈에이 대구동성로점
9,오퍼커피 서문시장점
10,카페보스 신암점
11,만난상점
12,예그리나
13,러닝카페
14,핑크버블
15,카페1015
16,플라잉빵차
17,소지티룸
18,레터프롬
19,커피공식
20,카페소풍
21,리터킹 대현점
22,이디야커피 대구남산점
23,오올
24,디저트&티
25,몰타 이시아점
26,그레이스카페
27,앗다방
28,마일스톤커피앤베이커리
29,코코카페 동대구점
30,나봄
31,가든커피숍
32,이태리커피숍
33,올리버브라운 대구복현점
34,커피하우스
35,더플레이스카툰24
36,황금열쇠 동성로점
37,도리안그레이
38,탭플레이커피대구신암점
39,장화신은고양이
40,커피타임
41,봄날
42,복현동커피
43,덤럭
44,테로부
45,위카페
46,카페봄봄 율하점
47,카페봄봄 김광석골목점
48,까사넬로
49,미소꼬마김밥.노랑커피
50,랑데자뷰 대구동성로점
51,릴리하우스
52,떼아뜨르현
53,다온누리차향
54,룸즈에이 동성로2호점
55,이사빛
56,꽃하는언니 빵굽는동생
57,혜동
58,정미다실
59,헤드번팅커피
60,인더가든
61,미스터아메리카노
62,요거트렌디
63,아눅
64,카페밀리언
65,아미타
66,프린스
67,빽다방 대구방촌상명점
68,파스쿠찌 대구중앙로점
69,샌드록커피
70,코타커피
71,노스밴
72,스테이블모먼트 반석점
73,얌디저트
74,레이지모닝 동대구점
75,더쪽
76,마시그래이 동대구역점
77,서로의달
78,스위트수기
79,슬립리스인시애틀 서문시장점
80,몬스터커피 신암점
81,커인시던스
82,말그미옥상
83,구공이일공
84,빽다방 대구반월당현대점
85,힐링카페채움
86,스타벅스 대구봉무점
87,세미
88,크크.라니커피
89,더벤티 대구청라힐스자이점
90,에녹&고섶
91,약사커피숍
92,시즌카페
93,랩디 본점
94,윈썸
95,달아요
96,갓오브커피
97,커피왕 방촌점
98,카페손수
99,아침
100,빌라드모리
101,카페샌프란시스코
102,커피정류장
103,픽크닉
104,모고우
105,베리플라워
106,빅핸즈 9호점
107,주식회사 모비딕에프앤비
108,커피바람 대구만촌점
109,스타벅스 대구228중앙공원
110,듀
111,어게인
112,칼디
113,카페414
114,카페청라
115,겸카롱
116,메종로즈
117,파센드
118,장커피
119,경다방
120,래리커피
121,홍실다방
122,라코히스튜디오
123,화개제다청류다원
124,커피볶는작은마을
125,설빙 동성로대백점
126,요요커피
127,카페블랑쉐
128,커피컵팟
129,엔제리너스 동대구터미널점
130,설빙 이시아폴리스점
131,더벤티 대구지묘점
132,카펠리체 이시아폴리스점
133,지몽
134,더벤티 대구동아쇼핑점
135,폴바셋 대구신세계백화점1호점
136,카페달달 동성로본점
137,메이플101커피
138,투탐
139,드럭(DRUG)
140,은휼강
141,에버유어스
142,샘다방
143,텐퍼센트커피 대구방촌역점
144,알레이커피
145,꿀다방
146,명성다방
147,BE FRESH (비프레시)
148,고이그
149,제리집
150,문학서비스센터
151,쏠레이
152,슬라임앤만들기
153,우래커피숍
154,미도다방
155,뷔프루타 본점
156,텐퍼센트커피 대구동성로점
157,엘리트커피숍
158,선댄스팜
159,골목커피
160,모노
161,동일갤러리카페
162,딥커피로스터스
163,갤러리디엠
164,CAFE 9Month
165,대구커피숍
166,몬스터슬라임
167,머그컵
168,동인정취
169,머스트잇
170,우드맥
171,동촌라이브
172,백금당 종로점
173,사유
174,어바웃어스
175,문포엠
176,접속
177,빽다방 대구불로동점
178,카페데이원
179,카페생명나무
180,마실커피 동구청점
181,청솔로9 동대구역점
182,둥블랑
183,샤밀
184,황실다방
185,Romance papa
186,뉴카페
187,카페포스
188,빽다방 경북대정문점
189,스펠
190,카페그레이스
191,그린커피숖
192,이디피샵
193,카페봄봄 이시아폴리스점
194,우지현의 꽃차공감
195,브라운베어
196,더안카페
197,츄릅츄릅
198,하늘카페
199,벌크커피 방촌점
200,카페라온
201,던커피(Done Coffee)
202,마시그래이 서문시장점
203,테넷
204,공대생카페 불로봉무점
205,정담디
206,피카소
207,카페문101
208,본투비블루스
209,꽃길다방
210,카페 1.14km
211,라이노커피
212,카페어노드
213,안일다방
214,호반카페
215,샌디
216,콩돈
217,브리플리
218,야노쉬
219,학다방
220,백양전통차
221,공차 롯데마트대구율하점
222,소담소담
223,바이반스
224,쉼카페
225,빌리브라운 동대구역사점
226,1프로김밥 그리고커피이야기
227,에이플레인
228,캣냅
229,드롭탑 대구메가맥스타워점
230,인스퍼레이션디
231,카페매일봄
232,컴포즈커피 대구신천점
233,씨오피스커피바 대봉점
234,다닐살롱
235,너에게간다
236,코스모스커피
237,퀸즈커피
238,신천커피
239,카페퀸
240,로드커피
241,할리스 동대구환승센터점
242,노커커피 (휴업중)
243,더리터 대구공항점
244,카페누리
245,더치앤빈 대구이시아폴리스점
246,까르팡
247,두낫디스터브 동대구점
248,위드로우
249,아진커피숍
250,선인장다방
251,세라젬웰카페 대구신암직영점
252,커피상점 방촌점
253,윈디커피
254,정안다방
255,카페맥피
256,빽다방 대구대봉점
257,노스폴
258,바파바로
259,빌로우 대구시청점
260,투썸플레이스 대구동촌유원지점
261,꿈을담다
262,렌토
263,미애부 동촌유원지점
264,더치앤빈 대구신서점
265,캐너커피스탠드 본점
266,살구
267,크림드엘
268,커스텀비
269,옥토끼(Cafe OK Toki)
270,느낌커피숍
271,소연당
272,영남다방
273,핸즈커피 동촌유원지점
274,핸즈커피 동성로데오점
275,커피스미스 대구동촌유원지점
276,카페이층공작소
277,카페에이티에프
278,바람불어오는곳
279,블랙쉽커피(Black sheep coffee)
280,카페 아리움
281,리얼라이즈카페
282,카페이쪽
283,더벤티 대구이시아폴리스점
284,썸커피
285,명진푸드
286,봉다방
287,윤유월커피
288,앤드
289,마벨
290,핸즈커피 서문2지구점
291,동원전통차
292,코히어
293,마녀가굽는크로플
294,이디야커피 대구반야월점
295,문화장
296,파이데이아북카페
297,엘레아노
298,텐지커피하우스
299,헤브론
300,카페 HA-NU
301,청솔로9 신천센트럴자이점
302,청솔로9 대현점
303,언제나 내곁에
304,비팩토리
305,대구안심점멘토즈북카페러리
306,스타벅스 대구종로고택점
307,오슬로
308,남산동커피
309,스타벅스 동대구터미널점
310,카페설렘 율하점
311,희상점
312,기찻길
313,히든비카페
314,커피눔
315,하루
316,치폴리니
317,스펠 이시아
318,류커피로스터스 신세계백화점 대구점
319,달콤미술관
320,백도시
321,레프트뱅크
322,모브
323,더와이즈
324,북성로사람들
325,산너머그집꿀
326,레헴커피
327,카페너와나여행
328,감성커피 대구지묘점
329,클로저카페
330,시즌커피숍
331,리터킹 각산점
332,팔공티 영진전문대점
333,스꼬비하우스
334,모임다방
335,테이크인
336,카페향촌
337,큐케이
338,달달샤르레
339,커피명가휴
340,카페스토리웨이 동대구역사점
341,해피슈르
342,투썸플레이스 대구동성로광장점
343,텐퍼센트커피 대구대현점
344,와우쥬
345,메종드샤베르
346,메가MGC커피 동성로점
347,요거트아이스크림의정석 율하점
348,카페봄봄 남산점
349,선데이베이글마켓
350,컴포즈커피 대구율하점
351,아지터
352,디다카페
353,라뽐므
354,히네마
355,커피셀러
356,메가MGC커피 대구메트로센타점
357,아이엠에이투지
358,파스쿠찌 대구신암점
359,무
360,해피살롱
361,카페산에
362,동행
363,파스쿠찌 동촌유원지점
364,폴앤가토
365,지니카페앤(&)슬라임
366,시선커피스톨
367,만남커피숍
368,플로우바이손수
369,커피앤드
370,버건디
371,커피1938
372,코코
373,슬로우벗베럴
374,카페오엔(cafe ON)
375,팔공티 이마트반야월점
376,카페다온
377,하이브
378,몬다코
379,정오커피숍
380,뷰
381,투썸플레이스 대구신암점
382,노티스818카페
383,에그오
384,아리스타커피 대구서문시장점
385,공차 대구국제공항점
386,파스쿠찌 대구동성로광장점
387,리시트 현대점
388,투썸플레이스 대구누네안과병원점
389,나우커피 강촌점
390,블랙비버커피
391,황해다방
392,루시드암스
393,호호슬라임 봉무점
394,래커
395,알엘카페
396,엔트리커피
397,오세요 카페테리아
398,커인시던스에스프레소바
399,스테이550 동촌유원지점
400,리노운
401,수정다방
402,소소남산
403,리꼬비 교동점
404,헤이크로롱
405,칼디커피
406,삼더크 율하점
407,이씨씨커피
408,마음이온다
409,p.34
410,베르겐 에스프레소바
411,레코디안
412,카페쵸피
413,소일
414,펠리츠
415,르씨엘 대백프라자점
416,인투더와일드
417,극장문
418,메가샵 크로플 남산점
419,아틀리에빈 대봉점
420,동신다방
421,일루아
422,까치다방
423,에스프레소바 파라볼레 카페 대구동촌유원지점
424,탐스커버리 동성로점
425,앤이랑커피
426,모모
427,이디야커피 대구신천역점
428,노웍스커피
429,EAT ART
430,트리굿커피 영진전문대점
431,카페단아
432,인문공학 동대구
433,매스커피 대봉점
434,dna
435,마시그래이 중구점
436,하삼동커피 대구율하점
437,이디야커피 대구파티마병원점
438,베러먼데이커피 대구시청점
439,송림다방
440,커피&분식
441,커피한잔할래요
442,소풍커피
443,호안느
444,웨스트110
445,카페블레스
446,카페봄봄 효목점
447,달담커피
448,카페브라우너
449,카페마시로
450,노큰롤
451,라이브카페비틀즈
452,오프더스트릿
453,대구로컬푸드카페 쉼터
454,베이크화목
455,쿠프만 방촌점
456,서스카페
457,고바슨 르블랑점
458,말랑블링
459,꽃자리다방
460,이레
461,더캄
462,아띠시에
463,커피인구
464,무오커피
465,오베이스 카페
466,오쏘커피
467,리틀빈
468,로망띠끄
469,테라스57
470,카페풍경
471,카페봄봄 서문시장점
472,하프커피 대구점
473,카페유어프레즌트 동대구점
474,몬스터커피 남산점
475,부루잉
476,앨리커피
477,카페인중독 대구남산점
478,그린클라우드 동성로점
479,탠지커피하우스
480,더벤티 대구연경점
481,갸또빌라쥬
482,나쁜 커피&북스
483,이디야커피 대구MS재건병원점
484,카페봄봄 신기점
485,에클레시아
486,애리스커피스탠드
487,빽다방 대구경대병원점
488,발사랑
489,녹아 대구남산점
490,더벤티 대구동구청점
491,카페레브 퀸벨호텔점
492,카페휩
493,오프레코드
494,장충원커피랩
495,하이오커피 대구비산점
496,BLT
497,8아워즈
498,카페봄봄 동대구역점
499,가비오24시무인카페
500,기억카페 9호점
501,카페캔버스 율하점
502,샘터루
503,카페헤이하이
504,파스쿠찌 대구동성로점
505,정다운커피숍
506,레프트뱅크 계대정문
507,인어커피
508,코쿠
509,더벤티 대명계대점
510,까사메트로
511,행운다방
512,파스쿠찌 대구신남네거리점
513,더리터 대구방촌점
514,커피폴리오
515,얌디
516,삼더크
517,해리스
518,소소한찻집
519,남산제빵소
520,카페레드하임
521,MORRIS COFFEE
522,청춘다방낭만커피
523,설빙 대구대명점
524,카페단산길19
525,커피한잔
526,수평적관계
527,오우야 에스프레소바 대구점
528,폴바셋 더현대 대구점
529,에브리커피 동대구파티마점
530,쎄라비
531,트리핀 동대구역점
532,캔버스커피 대현점
533,커피얌
534,마시그래이 신천점
535,로파이
536,리시트 봉산점
537,산과사람
538,무명유실
539,데이지
540,이디야커피 대구만경관점
541,몬스터커피 이시아폴리스점
542,에밀타케메모리얼카페
543,끼니카페
544,찐다방
545,할리스 대구봉무공원점
546,오가다 대구대백프라자점
547,명품다방
548,4도
549,영과점
550,한점푸르른땅
551,하삼동커피 연경점
552,웰크레페 동성로점
553,또르또르
554,다반트
555,엔제리너스 롯데시네대구율하점
556,더벤티 대구율하광장점
557,모모상점
558,공차 대구백화점플라자점
559,더블유커피
560,오가닉모가
561,디르페
562,공차 대구각산역점
563,헬로어게인 대구복현점
564,아아커피
565,공차 동대구복합환승센터점
566,로스팅팟츠
567,스타벅스 대구팔공로DT
568,전통찻집다향
569,씨티씨커피로스터스
570,커피집
571,라디오데이즈
572,연화다방
573,비아토르
574,커피왕 불로점
575,퓨어리즘
576,카페클라우드
577,송지연찻집
578,카페나나무
579,동백다방
580,둥지찻집
581,줄라이모닝
582,버터풀
583,디저트39 대구동성로점
584,어노잉
585,러브모드
586,미야까페
587,동촌커피
588,린카페
589,밀크올로지
590,레드애플 롯데아울렛이시아폴리스점
591,스튜디오지
592,컨비니언스커피스토어
593,더리터 대구아양점
594,로스팅랩
595,넬스커피
596,나발
597,카페나인먼스
598,원두
599,까망콩
600,남산올래까페
601,코끼리다방
602,벨빌베이크하우스
603,차방책방
604,오엔오
605,용주카페
606,탐앤탐스 롯데시네마프리미엄만경관점
607,피플스커피
608,새론
609,명덕로88
610,슬립리스인시애틀 율하롯데점
611,나무906
612,파티세리 백산
613,청춘그시절
614,정아레스카페
615,가로등커피
616,가듀
617,애리스커피스탠드 교동점
618,더리터 동대구점
619,커피왕 반야월점
620,샵공방카페
621,마스터키 동성로2호점
622,커피왕 비산세종마트점
623,더리터 대구신기점
624,더리터 대구서문시장점
625,쁘띠팔레트
626,카페소남
627,매스커피 대신남산점
628,워니맘의봄봄
629,과일곳간
630,티라레미수 대구삼덕점
631,페어리피타
632,구공카페
633,설렘
634,빵실과자점
635,더브릿지커피
636,부다
637,여름다방
638,커피와식사
639,커피명가 이시아폴리스점
640,카페모이바
641,더브릿지프레쉬커피 남산점
642,스위트주아르
643,멜로소
644,봄빛담다
645,앨리스이스케이프
646,온정커피
647,치타커피 안심점
648,마고플레인 아양교점
649,앵커커피컴퍼니
650,카페봄봄 대현점
651,루머팡 신천점
652,조은다방
653,대익차
654,커피
655,더드림커피 아양교역점
656,크라프커피 동성로점
657,청진담
658,인스퍼레이션디 동촌유원지점
659,따수운
660,낙트리
661,넌테이블
662,탐앤탐스 대구엘디스호텔점
663,에움길
664,스타벅스 대구수성도서관DT점
665,투썸플레이스 동대구환승터미널점
666,125커피
667,연화
668,대화다방
669,올라오니
670,하바나익스프레소 율하점
671,라삐아이
672,아이스크림커피
673,오놀라
674,푸푸커피 동촌유원지점
675,빌라드샬롯카페 대구공항점
676,로맨스빠빠
677,JNK커피&머신
678,보케르커피 반야월만남광장점
679,스타벅스 반야월이마트점
680,리엔뷰
681,오이
682,카페봄봄 파티마점
683,브루앤미
684,카페올리브
685,어디
686,꼬끄롱
687,이이알티키친
688,브라운브릭스
689,나이스커피
690,테이크인 커피
691,페이지하우스 아트북카페
692,카페더라
693,머뭇
694,팔공티 대구율하점
695,카페카리부
696,플러스공방&카페
697,빌리버스
698,아모르커피
699,커피매거진
700,코페아커피 센트로팰리스점
701,몬스터커피
702,캠핑독
703,카페봄봄 대구 동구청점
704,36언택트카페
705,헤이즈스트릿
706,교대커피
707,청담커피 계산점
708,이디야커피 대구경북대병원점
709,커피모렌
710,생츄어리
711,마이커피컬로맨스
712,1981카페
713,보리가실 대구동신점
714,위치어데이
715,카페 누
716,젬마
717,블릭커피
718,큐브스테이크
719,공차 대구복현점
720,물댄동산
721,아틀리에빈 신서점
722,미스터힐링 대구동성로점
723,코즈
724,쿠덕쿠덕
725,드롭탑 롯데마트대구율하점
726,커피빈 대구228공원앞점
727,비아더치커피
728,백금당 2호점
729,커피부라노
730,가인다방
731,피어나
732,커피에반하다 대구연경점
733,위드협동조합
734,라이브와이어커피하우스
735,열매달
736,스타벅스 대구계산
737,커피맛을조금아는남자
738,스커트케이크샵
739,반야월연꽃마을 협동조합
740,이디야커피 대구동촌유원지점
741,땅땅식물랜드
742,마이앤써이즈쿠키
743,제리커피
744,카페불로
745,커피콩
746,틸더커피바
747,곰스크
748,카페이랑 남산점
