,카페이름
292,카페그윽
293,청솔로9 구지점
294,로맨스빠빠
295,반달커피 두류점
296,달콤푸릇 시지점
297,에프닷커피
298,카페 에스프라하
299,보키네강아지
300,어썸주스 장기점
301,더카페제이
302,로맨스코코
303,에렌델
304,피오레
305,다다 티앤커피
306,그릿 죽전점
307,카페세라
308,틔움
309,보름
310,할리스 현풍휴게소대구방향점
311,벌크커피 신월성점
312,투썸플레이스 지산광장점
313,카페 오프(CAFE AUBE)
314,카페올데이
315,아틀리에빈 신매점
316,런더너
317,소쿠리과자점
318,쭌이점빵
319,카페오브유
320,티파티커피
321,스타벅스 동아수성점
322,모토
323,파나쉬블랑
324,올웨이즈카페
325,컴포즈커피 대구감삼역점
326,모먼트
327,아마스빈 대구이곡점
328,커피앤번
329,SSAW커피
330,투썸플레이스 대구죽전하늘채점
331,맘스커피
332,더리터 현풍점
333,힐링숲라파 대구 용산점
334,더리터 두류역점
335,마시그래이 월촌역점
336,더포켓
337,카페본
338,스테디커피 진천본점
339,CAFE RETRO
340,플로우인
341,퓨로쥬스 대구용산점
342,카페프랑세(cafe francais)
343,돈키호테
344,제이블리
345,스무디킹
346,더카페 대구이월드점(2층)
347,금강다방
348,배달의카페 성서점
349,애드업(add up)
350,보람베이킹카페
351,카페크럼브
352,구스켓인더크로 플 죽전점
353,mijiro
354,단단호박
355,루홀 잉글리쉬커피하우스
356,더카페 대구이월드83타워점
357,다모아7080라이브클럽
358,푹(PUK)
359,빈센트커피
360,지지피
361,매스커피 현풍테크노점
362,카페카파르
363,팔수다방
364,카페하라
365,몬스터커피 신월성점
366,영자클럽 두류점
367,블루웨이샐러드 달서본리점
368,그레이스커피
369,코셔
370,투썸플레이스 대구고성3가점
371,공차 대구월배점
372,벧엘외국인센터
373,MMM
374,카페랑
375,카페넬리
376,빽다방 대구월성원더풀점
377,그룬
378,플라워카페
379,온오븐
380,공차 대구이월드점
381,공차 대구테크노폴리스점
382,카페드아담
383,공's 커피 GONG's COFFEE
384,크로플각
385,하어스 코지 HAUS COZY
386,탐앤탐스 대구호산점
387,맨드라미
388,카페솔례단길
389,마로나
390,가유
391,좋은생각
392,황금다방
393,커피라네
394,틈카페
395,위메이크브랜드 케이더블유
396,예담청
397,매머드익스프레스 대구진천역점
398,마시그레이 현풍구지점
399,엠티지
400,SIS 두류공원점
401,레오나렌
402,꽃차그리고커피
403,에그트리
404,스마일커피팩토리
405,커피플로라
406,더리터 대구세천점
407,공부인스터디카페대구감삼센터
408,마로니에
409,래이데이커피
410,엔피스 카페테리아36.5
411,카페봄봄 대곡역점
412,그곳그집
413,카페스타디움
414,블랙스완짬뽕카페
415,카페봄봄 대구파동점
416,코에케
417,땡큐다방
418,무인카페온 감삼43-2점
419,도케비커피 신월성점
420,레이지모닝 상인점
421,카페드올라
422,카페99
423,카페레드
424,별들의다방 장기점
425,파스쿠찌 대구수목원점
426,물댄동산
427,K&S
428,다빈치커피 홈플러스성서점
429,하삼동커피 대구이곡점
430,카페865
431,놀이터
432,파르크우록
433,광피시카페
434,달달한하루 계대동문점
435,영커피 대구유천점
436,카페051 대구구지아이비파크점
437,공차 대구황금점
438,선향찻집
439,coffee Ro
440,단커피
441,마카다
442,구스켓인더크로플화원점
443,더리터 성서점
444,마커스커피
445,카페리치
446,평온
447,데인티 용산점
448,더리터 대구알파시티점
449,더플레이그라운드로스터리카페 (휴업중)
450,컵넛 월성점
451,빽다방 대구범물시티월드점
452,달곰
453,아틀리에빈 노변점
454,읍천리382 대구상인점
455,청솔로9 시지점
456,카페봄봄 월성삼정점
457,대하다방
458,바나다커피
459,헤븐
460,월드베스트커피
461,카페조이
462,마사커피 앞산송현점
463,2프로부족한공간
464,달콤블리
465,카페봄봄 옥포점
466,에이비오보
467,도도
468,이디야커피 대구현풍로점
469,카페타오름달
470,핑크슬라임
471,커피랑도서관 대구본동점
472,커피인피니티
473,미니카페
474,라뜰리에
475,커피과일프랜즈
476,멜로우엔
477,esc 범물점
478,시레나커피
479,핑크맨
480,일하
481,쌍도커피 달서구점
482,대구목공카페
483,커피한잔의여유
484,젤리커피
485,빽다방 대구성서롯데점
486,텐퍼센트커피 대구신매역점
487,이디야커피 대구서재아이위시점
488,나우커피
489,조조스커피클럽
490,플라림비
491,매화양과
492,맥커피숍
493,자연카페
494,스캠프커피
495,우성커피숍
496,더리터 대곡역점
497,루츠루츠
498,커피잇슈
499,공차 대구화원점
500,머무름
501,휩스
502,투썸플레이스 대구성당점
503,커피상점국화원
504,커피엘
505,카페공깨비
506,스타벅스 대구계명대점
507,보물350
508,상아다방
509,카페봄봄 월곡점
510,카페설렘 두류점
511,아임프룻
512,콤포티에
513,카페보네르
514,더루틴
515,유아독존
516,버터즈
517,스무디킹 대구이월드점
518,이포트로스터리카페
519,생각나는커피
520,카페비슬애
521,더벤티 대구상인2호점
522,가배바투
523,디포타
524,그라운드플로어
525,신라다방
526,카페그룬
527,니즈커피
528,핑거커피
529,카페 1.14km
530,더리버163
531,카페 블루밍
532,카페피에
533,하삼동커피 상인역3번출구점
534,카페리포레
535,라부아뜨엘
536,바람모티
537,카페봄봄 테크노폴리스2호점
538,카페봉리당
539,고향다방
540,다문
541,양지다방
542,작은숲리틀포레스트
543,뉴포트비치커피
544,팔팔커피
545,엘아르카 레푸스 진천점
546,마시그래이 진천점
547,엘씨로스팅랩
548,클라우드(CLOUD)
549,카페위 대명동점
550,카페818
551,카페빈
552,썸
553,팔공티 대구월성점
554,크로플덕 오리아가씨 대구구지점
555,그로우커피
556,매머드익스프레스 대구월배삼정점
557,카페게이트 대구세천점
558,소소베이크샵
559,카페고성
560,서스카페
561,브릴란테타타
562,요거트월드 상인점
563,그라운드커피 대구점
564,커피마을
565,오늘커피
566,대경커피숍
567,읍천리382 대구대실점
568,무디
569,턴커피 현풍점
570,정원
571,카페봄봄 용산역점
572,중앙커피숍
573,서로커피 이곡점
574,오아시스오브데저트
575,만지고놀고 슬라임카페
576,청솔로9 화원점
577,크로플팩토레
578,제리민
579,그린혼
580,까페앨리스
581,하삼동커피 대구 진천역점
582,브릴란테
583,읍천리382 대곡점
584,스위트가든&카페스위트
585,카페더케냐
586,레프트뱅크
587,장미카페 감삼점
588,아울스튜디오
589,카페에브라임
590,스타벅스 대구월곡DT점
591,댄싱컵 신월성점
592,좋은날다방
593,벌크커피 상인점
594,폐이쓰커피
595,코지똑독
596,월성다방
597,더블루문
598,스타벅스 대구월성점
599,미당떡방앗간
600,J뮤직공간
601,요거드숑
602,카페쉼
603,슬로우터틀 성서롯데시네마점
604,하삼동 다사역힐스테이트점
605,더테이블
606,달콤한 피아노
607,읍천리382 대구현풍점
608,카페굄
609,딥우드
610,모모
611,카페봄봄 대구 화원점
612,화신다방
613,이디야커피 대구성서점
614,포유어데이
615,커피예찬
616,달창카페
617,스무디킹 CGV대구스타디움점
618,투썸플레이스 두류공원점
619,카페캔버스 용산점
620,커피명가 지산점
621,앤(&)커피
622,멘토즈스터디카페 &독서실 대구화원점
623,비토브라타
624,델라파체
625,수다방
626,카페봄봄 대구다사역점
627,블레스유
628,카페트리
629,더벤티 대구진천역점
630,유가양과점
631,두어커피
632,그린그루브 본점
633,어름 구지점U'rm 구지점
634,예나지나
635,커피&과일친구
636,생각나는빵
637,디웨이브
638,로브카페 로브커피
639,도그플레이스
640,읽다익다
641,오디너리히어로즈
642,보임예다원
643,우분투
644,다방마차
645,한일다방
646,이야기가있는집
647,블루샥 대구신월성점
648,687커피플레이스
649,마쵸펍
650,캔버스커피
651,진다방
652,해리스카페 대구의료원점
653,까메오
654,행복한커피볶는집
655,카페 로사
656,세렌디피티
657,빽다방 대구상인화성파크점
658,카페봄봄 와룡점
659,피카커피 욱수점
660,바리스타비 성당점
661,가오커피
662,MNT
663,포미
664,엔제리너스 논공휴게소 대구방향점
665,공주다방
666,매스커피 두류역점
667,다빈카페 성당점
668,나우커피 대구테크노폴리스점
669,커피볶는집커피데이
670,훈카롱
671,하루카페
672,풀필커피
673,셀렉토커피 대구화원사문진점
674,더드림커피 대구신매점
675,풍경
676,시애틀에 잠못이루는밤에
677,대구다방
678,스테이오오공
679,조예빈라이브
680,서로커피
681,카페SSOL
682,아는카페
683,달달
684,더떡케이크하우스 쿵떡쿵
685,마실커피 광장코아점
686,투썸플레이스 대구계명대점
687,두두커피
688,커피쿡 대구월성점
689,마시그래이 현풍테크노폴리스점
690,몹시커피
691,헬로우맘
692,빈
693,할리스 대구이월드점
