,0
수성1가동 에버유어스,https://drive.google.com/uc?id=19TpAXpNbL19GZgK7ELe1JAr0-17uz759
대명10동 투썸플레이스 대구가톨릭병원대로점,https://drive.google.com/uc?id=12zSXtGWdKsl8v3XxMosAPaAul2xpzzrJ
대명4동 칼터커피,https://drive.google.com/uc?id=199pe1gtG7Xbm3hOUSxDwwkO46bxPEZDg
대명4동 파스쿠찌 대구가톨릭대로DI점,https://drive.google.com/uc?id=1GLgyUqKJjlGBVJDX3OplvCQb_1jE22QS
대명1동 카페체크 대명점,https://drive.google.com/uc?id=1GXOj3snqErADLnTadp8bQu_5M82hsgNs
대명10동 말자커피,https://drive.google.com/uc?id=1guXh2nDI3uEBvUfPUyhrMKyshAboSGHq
남산4동 레프트뱅크 계대정문,https://drive.google.com/uc?id=18fqC1SgRlX3-zBeoL3mj-Som5tZzGn45
남산4동 파스쿠찌 대구남산역점,https://drive.google.com/uc?id=1ADN4mJq2lF0rKtw99klboTpElzDgsABW
대봉2동 카페생명나무,https://drive.google.com/uc?id=1IhyJfjg5yKD99q8Ia5bnPYAqTeKiW-l2
대명3동 다빈치커피 대명마루점,https://drive.google.com/uc?id=1lFfUwip423nqy13D83UNBesKTUXNk-Fq
남산4동 카페봄봄 대명시장점,https://drive.google.com/uc?id=1W6OyncpbS5ACasAJDFbXM3cRfewsMR80
남산4동 공드리다,https://drive.google.com/uc?id=1tyYuucAJe5WjwubsJO_66fG0FSdzPUi6
대명3동 커피눔,https://drive.google.com/uc?id=17rtZ10pXrpDm_sJiYry8wFkVf-6-d6PV
남산3동 플라잉빵차,https://drive.google.com/uc?id=1fJjwHb7YP_ScLlH7xghNBrhb-UosjUq8
대명2동 스트롤커피,https://drive.google.com/uc?id=1zy8njuhJfEsM3vtGjMUfTMsTdFM_J4m5
이천동 카페모비딕,https://drive.google.com/uc?id=1ns__OPMxTyEdzrBE81WTqtz0Sc0QFm39
수성1가동 바람구름,https://drive.google.com/uc?id=183XLZzR17ZE_q2bNQd7WPHUAk-WJkf3M
남산4동 쌔틀,https://drive.google.com/uc?id=1Ryne2OryzyGaoz0Nu0qW39abUcBZOomb
대명5동 모미닝,https://drive.google.com/uc?id=1G1UuZY_6kyHihIUi3qwrQlCY431naAGh
대명1동 에이치카페,https://drive.google.com/uc?id=1h9WGdofw04jJGj7-EuwoxuM4Ff6Yylrd
대명5동 동네커피 대명점,https://drive.google.com/uc?id=1fGcpcNKNg2I9fvi4_0BdMBMy3DFI5S8F
대명5동 커피매거진 영대병원점,https://drive.google.com/uc?id=1Y5EWwx6z6daBkdSufqHXoU_BUNHpq1UU
대명5동 요거트월드 대명점,https://drive.google.com/uc?id=1BdACu52cppXavElUPl890iHVXLziHvbM
대명5동 카페 리브라,https://drive.google.com/uc?id=16C3wzPqs-PeAE1iuvwfzZLdy6lp86nSO
봉덕2동 브렌치카페,https://drive.google.com/uc?id=1cjKWk7jFhyShVoQa7lzPiDUTzvLfjcJW
대명5동 스타벅스 대구영대병원역DT점,https://drive.google.com/uc?id=1xMwdSbBj03cAZMSr85k6FpM-sVQYh-w4
봉덕2동 카페봉덕,https://drive.google.com/uc?id=158ewCz60et5XgYgN3elDBdGsJsPct1sl
봉덕2동 칼라스,https://drive.google.com/uc?id=1T3_bGu38M0UlUfGBbPXHSirpF2Inmm8p
봉덕1동 나랑노랑,https://drive.google.com/uc?id=1UXrMj5io4P29wHRJXXkUIwCi5MPIgiI_
봉덕2동 혜이커피,https://drive.google.com/uc?id=1wbIUZfoyoAVTdEnd0pDDffzYMHbNhkGQ
대명2동 마스가토,https://drive.google.com/uc?id=1ODFGRGRjS7-1gbADNoTqI60ozfv4tsTD
봉덕1동 띤또카페,https://drive.google.com/uc?id=1Dde4wr2CaqZkG4EXHtEpOPZwdF5vquEj
봉덕1동 카페봄봄 남구청점,https://drive.google.com/uc?id=1y7sMQ52a5yUVt_NSuTUfvKiEZ8_shpZ_
봉덕2동 그다방,https://drive.google.com/uc?id=1e0yln_bA1aYNrYXKhqgbIgk9iGfq-EAB
봉덕1동 코지커피,https://drive.google.com/uc?id=1w7oTRp9_l408_NHdiJv48_ePAFK39aIM
이천동 별책다방,https://drive.google.com/uc?id=1KdCecslnQOTg6QZN0_KzlFOulXgshENy
봉덕3동 랑데부,https://drive.google.com/uc?id=1-cwpPzkhl0294_C9hcjF7_ZrcNA3SvC1
대명2동 아티스트바이,https://drive.google.com/uc?id=1BP3atP_0CKfe-v_ulX3FfSJ-eJSfpnM7
대명3동 예니네 베이커리카페 대구점,https://drive.google.com/uc?id=1E8D5y6bkf6c0xg9G6bR4ogyn2xwHxADY
대명3동 타미즈바이올렛,https://drive.google.com/uc?id=1Zr2kG6Jckli1mhhkeBfvHaTJ1Y7VU_3k
대명3동 펠리즈커피,https://drive.google.com/uc?id=1kGXoOVm2uYDJ1gcssO-4s3_An13XbBr-
남산4동 더캄,https://drive.google.com/uc?id=1jgdROQDAwrCfMDYatmOfLkRHs954ILWw
봉덕3동 텀브커피 대구봉덕점,https://drive.google.com/uc?id=1Ec4CAHZjgmeBKhuO-FlPVEqSevC0KzSq
대명9동 월포리91,https://drive.google.com/uc?id=1eppb6F2G9D3q8OlZrMjytAq78D51X8Nr
대명1동 읍천리382 대구본점,https://drive.google.com/uc?id=1kGQahJzJPVElSxnpLpeZ1S8QHqVsOzfH
대명1동 더크,https://drive.google.com/uc?id=1X40o-b_wzXS7kyE8DGP8XRDaVCXGEV09
대명9동 오어앤,https://drive.google.com/uc?id=1yrLg2XB-3NpsoQfGMSPOFlhBYnTcF4qo
대명6동 오르다카페,https://drive.google.com/uc?id=1d1LEq9CMBDguo6uuuWTBF7_G5eG-5W8Q
대명9동 책상,https://drive.google.com/uc?id=1GCcQa9gaJIzO__u8gwL2KGTI4KDBfkE-
대명6동 식물가게온화,https://drive.google.com/uc?id=12uNxEkZ5grm60Y0DD5tHdNCaRpoeaBuD
대명10동 카페경혜네,https://drive.google.com/uc?id=196E12Y-mtBv7WnMeDBhgtCUdFzepWZqp
대명10동 카페보스 대명1호점,https://drive.google.com/uc?id=1EWENc_9SobcK2qI04SoztAYcw-blXJlc
대명6동 베니떼익스프레스,https://drive.google.com/uc?id=1ak9ft1fVE05JKFheCamLDiXsQdRJeQKQ
대명6동 스미스로,https://drive.google.com/uc?id=1d18dSrUD4fu5mUb6_cY5ZdbX5JrRhabj
대명10동 아티세리,https://drive.google.com/uc?id=1rLaYW6MIPH77fZSjdPJjC0vin2IDKltm
대명10동 커피컨넥트,https://drive.google.com/uc?id=1kT7y8eCmbpL79e2bnbZmI7payw_cJDJl
대명11동 포린,https://drive.google.com/uc?id=13Llpi5bh2Z0E_YaoYA1F-qFdNo3mDTmm
대명6동 이디야 앞산점,https://drive.google.com/uc?id=1hCE2baAzcgYwouWdQEccYRcwK3TZ6FWD
대명6동 빨간우체통,https://drive.google.com/uc?id=18Un0S3o-GZEVpVqKrRahlgdC1BqHTZmT
대명6동 핸즈커피 앞산점,https://drive.google.com/uc?id=1aSytuCxEyNOya9UcnGv4bWp-rMeUueWN
대명6동 카펠라,https://drive.google.com/uc?id=1wXEksADs5u7EyHVkpiqhQ1UosQQT4A2s
대명6동 아눅앞산,https://drive.google.com/uc?id=1g0Um9bFQEH7XpwRQAwoaZv8-zCpdRXZK
대명9동 커피방정식,https://drive.google.com/uc?id=1vxEfFVFpV3XoC9GXPoEHA_mo7WWPTb6n
대명6동 커피플라자,https://drive.google.com/uc?id=1qES0gPtPyqVpwwTCJ3SEpZLMPN4r0lWf
대명6동 라겟옴,https://drive.google.com/uc?id=19mjFECkKzBWTz9IeQpwOEp10mAfc0eVh
대명9동 댐퍼커피,https://drive.google.com/uc?id=1OWNQikUNnFHh3cKO6p0bVga_aoO68dUw
대명3동 스위트팩토리,https://drive.google.com/uc?id=1zkitE8u8IPdny0fcEJOUsxgKfws3ywGl
대명2동 하우,https://drive.google.com/uc?id=1h0cYKwVK6odVS_-V5tB8-zwPKh9IL7Hh
대명2동 까페영선,https://drive.google.com/uc?id=1nGS5fsAW4c8rho616rFHHRvpVI79RC28
이천동 메모리인히어,https://drive.google.com/uc?id=1HpzFHQhGlThExJF65CI9ve-rpyvoYIhL
봉덕2동 카페몽티603베이커리,https://drive.google.com/uc?id=17ukCAVx5ugEoocNyKAjULWWNtohDgq8I
봉덕2동 고산가배,https://drive.google.com/uc?id=1gQ3SVBeD_wuwww97MDIh1CzvOZnfA9s-
송현1동 컴포즈커피 대구서부정류장점,https://drive.google.com/uc?id=1boxR_HgEcMzsqA4lNzNEhi_dWUWS08Oe
봉덕1동 휩,https://drive.google.com/uc?id=1-nM5smTM5YwHk4TT5PLO9yj08qyIztLN
봉덕1동 컴포즈커피 대구봉덕점,https://drive.google.com/uc?id=1zpyu2UyH82jEH4LxWEyaTvwqDsjdfYDS
