,0
국우동 노블리비아,https://drive.google.com/uc?id=18ek6x3S34h4kC1UN87ewLqpEWBJdYJX5
무태조야동 꽃다방,https://drive.google.com/uc?id=1CvD6yEUIR8WTRZgmQXRoe41a4uIZ-O8b
무태조야동 카페리미,https://drive.google.com/uc?id=1oR4inSPyGsnaNCyLNiC4O5-0wi4aaWYX
무태조야동 팔공티 동변점,https://drive.google.com/uc?id=1IrdUVh89ZpbO6GQICU_1j5SsPeSvCJ1h
무태조야동 에이엣디,https://drive.google.com/uc?id=1rTn0-yqMKQJIzPx_pIJzZTomGrOthTWg
산격1동 투썸플레이스 북대구IC주유소DT점,https://drive.google.com/uc?id=1qSLAMBrlfDuCLEiKEfN2AWmKIRqBDZYK
산격1동 달보드레,https://drive.google.com/uc?id=1utBcVIkSic6jMmYVeTAPYVnlimLnT7z9
산격1동 달리는커피 대구산격1호점,https://drive.google.com/uc?id=1uNj_RLngZn7QCviKou2dA1QTceOdA9D9
산격1동 이디야커피 대구산격동점,https://drive.google.com/uc?id=1PU_QsViSlg88lYckoAaXjs8pTTVGWT3k
산격2동 마시그래이 산격대우점,https://drive.google.com/uc?id=1BMin_Ae4J6Dlg5ke5R8Se4rK4ZTwbBZZ
산격2동 위치커피 산격점,https://drive.google.com/uc?id=1CpyflDqBqeP_SAa9Cu-9Y3c-7PJaA-l2
산격2동 커피에반하다 대구산격점,https://drive.google.com/uc?id=1FTc-i6uTvOKdkpzgp_PMxihu200VixFQ
산격2동 하삼동커피 대구산격점,https://drive.google.com/uc?id=1F7HrMkUsCEGs0U3eRfcWyXUDikKs3E8K
복현1동 몬스터커피 복현점,https://drive.google.com/uc?id=1fyHHCHFIdDCwIaudEcOvyIQl4BzkO2ow
복현1동 디저트39 복현아이파크점,https://drive.google.com/uc?id=19htqNoezz5T7-G98MUXXtqDzg9ZCGPTj
복현1동 메가MGC커피 대구복현아이파크점,https://drive.google.com/uc?id=1JGtUG7bxUcY7U8t62CuTbzRYtfdo3rcO
복현1동 팬카페,https://drive.google.com/uc?id=1MFfCCSA165hqNuNMy5I1FCdomxotTUJp
복현2동 바라보다커피,https://drive.google.com/uc?id=1ODlsPpuRSbgSMs9nEPhfmtgDzf02ObvY
복현2동 레몬,https://drive.google.com/uc?id=1F6c-kLxvADnUp7xejNamjJf-tcdU9Tff
복현2동 수야모커피,https://drive.google.com/uc?id=1_Y_mgRyd_JihEkA_wtpmJgEraXLmBJqV
복현1동 해리슨커피숍,https://drive.google.com/uc?id=14RiO6xL99Sn9QL00OtRomU5EWDr-i_X3
복현1동 빽다방 대구복현네거리점,https://drive.google.com/uc?id=1hhHxWGri1zdMx_qzk0v3qY-E6b1Wa8Bm
복현1동 공차 대구복현점,https://drive.google.com/uc?id=1DSA6rBpMXkvfawA6dZLaUZ1ysvwsXeHJ
신암5동 올리버브라운 대구복현점,https://drive.google.com/uc?id=11kX3wqJUZBxpzycCp3-PVESUGJpU7N68
산격1동 플랜어트립,https://drive.google.com/uc?id=1BzBey3GsIiuOu4kcDDHsiUMeK2Gg-8_2
산격2동 읍천리382 대구경북대점,https://drive.google.com/uc?id=1U36kny8L77mKvW7BvRKbDrhIUftr6g-e
산격1동 촌실빵실살롱드테,https://drive.google.com/uc?id=1Cv81KO4I9ofSDDAn2KDPsFzw4bX40jQW
복현2동 프라이스커피,https://drive.google.com/uc?id=1zRc2B2mNrFrjPk0OWeKl_oXPqIChUS6s
신암5동 핸즈커피 복현점,https://drive.google.com/uc?id=1QRswIKplUF-gtI5qcMcuuAgJcmDnpt-B
복현2동 마시그래이 복현푸르지오점,https://drive.google.com/uc?id=1d2PekL5HNqqakhU07fGXEYtBhCw_DQdD
동천동 더리터 칠곡메가박스점,https://drive.google.com/uc?id=1FOeHgwRSeX6THyJz_wmRgGnTe_jD9QwZ
국우동 CoffeeNol,https://drive.google.com/uc?id=1Kqf2yeJuUXCoVjp2yig9OjMrFt8zuwmc
관음동 써드스페이스 커피,https://drive.google.com/uc?id=1etoO5ZjCOI2IVGakMabJkASHF4urEsx1
관음동 투썸플레이스 대구칠곡3지구점,https://drive.google.com/uc?id=1ch-SqxSvJ4K-AmhQ9XsCXTB5kPqenviK
읍내동 카페조안나 칠곡점,https://drive.google.com/uc?id=1TGuc_D_MJK3OvS7md9_gGodUk0VFdiB3
동천동 로투스,https://drive.google.com/uc?id=1zt4ePaOAZUIs3hJfE1jtLLx5yrnrBamC
관음동 청솔로9 칠곡동천점,https://drive.google.com/uc?id=1lFmRQhFnbhgIosZ0VCnL8rxPLcXRGf1r
읍내동 동네커피 칠곡점,https://drive.google.com/uc?id=1rsNEdv1tij-PxrXjc4FCPHHQWUuYI2TY
구암동 그카페,https://drive.google.com/uc?id=1e4yW9GisszyHjX6U0Ef8DAXuZ_JRJKSm
구암동 정스커피,https://drive.google.com/uc?id=1YDE5q0qmrAFD45jn5dOYoaIPq6FdhvyJ
