,0,1,2
대명1동 이디야커피 대구드림병원점,https://drive.google.com/uc?id=1-S3dO4Yj5GifFnMRVZeqnsQgnra28NFp,https://drive.google.com/uc?id=1l62zDjDOD0045E33MIX8-WUZPQHv6FCf,https://drive.google.com/uc?id=1fbbqJvoX3ZDnOhvkawK1JGMuGEIBWfLs
대명11동 카페엠트리 서부점,https://drive.google.com/uc?id=1X0eJ7C7sOX-U4e5y2zjmkHm8GlQjCBMo,https://drive.google.com/uc?id=1_zL_1j4dHl57wMHs78wtq7-l0u5JRFMu,https://drive.google.com/uc?id=1wO2WIE6DbJzANspDNHzB5W96RNAxyQt2
대명1동 몬스터커피 안지랑점,https://drive.google.com/uc?id=1znu4P2htjoR4QJgv8BS4zyxlxGAYygi3,https://drive.google.com/uc?id=1Ggi3-dKxbYY58jXJB1e6x5sVDFzTkvM9,https://drive.google.com/uc?id=1F7I5kV_dokb64_ltENaoDFCopUdLLKA6
대명9동 카페봄봄 안지랑점,https://drive.google.com/uc?id=1AlSKwThplVUQU1jkiQXKV-KZHvIhifUn,https://drive.google.com/uc?id=1OskZkqtov5tO3hvFyoBKGSCAWKFq4Cbx,https://drive.google.com/uc?id=1Hx6wXiy-dOiMvM0UXPjF8BnCZKXF4_ij
대명1동 카페달달,https://drive.google.com/uc?id=1GHJ_yrvT-0cHrp2yBsYbh3b1lM98MuGy,https://drive.google.com/uc?id=1F1fW6gTgXircgeb0rEg4UL26DkqPrtPd,https://drive.google.com/uc?id=1dbC7_fL-_jyPDxdIy7mNO4ZiApkzD7Jt
대명1동 카페유럽,https://drive.google.com/uc?id=1taK9lE75W7EBut7jw7kOi72Kzou849ok,https://drive.google.com/uc?id=1Zw81zwRyq70VWUFuS8SCVKKjfFEnywAP,https://drive.google.com/uc?id=1qB_eXY0tAWDfryf3WpUbOPGX6z3U6CEw
대명6동 카페 늘,https://drive.google.com/uc?id=1-XiTd4O6ZCSww5xTZcu0Aag4hyNSEH6n,https://drive.google.com/uc?id=1hSorWrYOvWqcmv2uQVAZ2tmiuIQ4k1Ad,https://drive.google.com/uc?id=1ZnUA028R15uTAng6nuVTE6YCX5kQLe0j
대명5동 카페1052,https://drive.google.com/uc?id=1mTkLGG9bjgzLhO2RJ5qP4KyU6XaaFNZ3,https://drive.google.com/uc?id=16wwbYH_474Y0y63mZjZCPkGgI3kW6FYK,https://drive.google.com/uc?id=1gaoGGbf_LLFDk95Z2kwmT3cH2l1kmgh8
대명5동 포프커피,https://drive.google.com/uc?id=1hAtVM-tF8vKROLodWvafL2UIi7l36uZD,https://drive.google.com/uc?id=1to1KLWJ0c4TEP4R8T5XndCt-ooxXLQMP,https://drive.google.com/uc?id=1A23b3kDSXkZqqX4bEAueKl1n3WoDd5U_
대명5동 카페인중독 대구영대병원점,https://drive.google.com/uc?id=1ZYVNg3UepHPbEyr5QY8Fw2VZvK0-HxHG,https://drive.google.com/uc?id=1TtJR7_4qfickvfLOTVemkGRUY0psNvzU,https://drive.google.com/uc?id=1l9CUTE4IU-TrC9XA2s8xHnJe3IceZaZS
봉덕3동 아킨니,https://drive.google.com/uc?id=1DqqJKYwA9C0Fqo1EJ0-gRC0Tg0qAry_i,https://drive.google.com/uc?id=1qfRHIJtbWbpPASKPO6z7nBohbQvraerS,https://drive.google.com/uc?id=1-W6lrJfSXBVypkRV14SlzMAiyiqtmHHT
대명11동 몬스터커피 대명점,https://drive.google.com/uc?id=1HK4NhObUIKtjfOEEX6G8Aeay_xxf1Ejk,https://drive.google.com/uc?id=1qDUdmv92sgEAgmCogOyOZv6KiVaX8QRC,https://drive.google.com/uc?id=1Jm9mzRTDOjwagVczKUo_z1AbKY27dVUK
대명10동 더리터 대명역점,https://drive.google.com/uc?id=1JKoh_BNpajdcGTElME1Sv_EI9Pr-3LFg,https://drive.google.com/uc?id=1A5nH-6LfLLt0jpVQ0Z8z6oZ0RTmZQefY,https://drive.google.com/uc?id=1-bwAtMgvbLKT3QZKBAstEa6ootqODTtZ
대명4동 파스쿠찌 대구대명역점,https://drive.google.com/uc?id=1PGD8Wrxx7rg4dHRkpSBz0kSQFPVVUuJK,https://drive.google.com/uc?id=1hSRgQBhdUgXZSRnvmblY4PH0cTjqjk-p,https://drive.google.com/uc?id=1Dkr4kdiUGimYvKFwByyf0ahaHYAaGu-x
대명6동 가이아,https://drive.google.com/uc?id=1FZQY_ko7d3cjhrmprJKlM9b5IIjyVPh0,https://drive.google.com/uc?id=168YIP8wpQmg4j7Klw8yR-OuBwgunrFFF,https://drive.google.com/uc?id=1C5WOvaWtfZgMsMqIRhJ6LXELfcazYbOk
