,사업장명,카페이름
2107,범물2동 esc 범물점,이에스씨 범물점
2108,범물1동 피쉬마운트 범물점,피쉬마운트커피 범물점
2109,범물2동 북카페커피하우스,북카페커피하우스
2110,범물1동 메숲,카페 메숲
2111,범물1동 말카커피,말카커피
2112,범물2동 예쁜하루디저트카페,예쁜하루디저트카페
2113,범물1동 카페헤이닷,카페 헤이닷
2114,범물1동 몬스터커피 범물점,몬스터커피 범물점
2115,범물1동 만랩커피 대구수성범물점,만랩커피 대구수성범물점
2116,범물2동 트리오브헤븐,트리오브헤븐
2117,범물1동 투썸플레이스 대구범물점,투썸플레이스 대구범물점
2118,범물1동 엘리먼트비,엘리먼트비
2119,지산2동 차우림,차우림
2120,고산3동 09264 커피갤러리,카페 공구이육사
2121,고산2동 마이리틀퐁,마이리틀퐁
2122,고산2동 아틀리에빈 고산점,아틀리에빈 고산점
2123,수성2가동 카페클레오파트라,카페 클레오파트라
2124,수성3가동 마쥬,마쥬
2125,황금2동 텐퍼센트커피 대구황금엘포레점,텐퍼센트커피 대구황금엘포레점
2126,중동 설렘커피 본점,설렘본점
2127,중동 흐드러진커피,흐드러진커피
2128,황금2동 살랑커피,살랑커피
2129,수성2가동 레디투커피,레디투커피
2130,범어1동 레프트뱅크커피 범어에일린점,레프트뱅크커피 범어에일린점
2131,수성2가동 블루샥 대구범어점,블루샥 대구범어점
2132,범어1동 노바디커피클럽,노바디커피클럽
2133,범어1동 켑트커피,켑트커피 범어
2134,범어1동 카페생활,카페생활
2135,수성2가동 마루모리,마루모리카페
2136,황금2동 또리커피 수성점,또리커피 수성점
2137,황금2동 유엠엠커피(UMMCOFFEE),유엠엠커피
2138,두산동 셀프바리스타 황금점,셀프바리스타 황금점
2139,두산동 파스쿠찌 대구황금점,파스쿠찌 대구황금점
2140,황금1동 공차 대구황금점,공차 대구황금점
2141,황금1동 쿠스커피,CUS COFFEE
2142,중동 오하커피,오하커피
2143,만촌3동 리움,리움
2144,두산동 마가렛루멘,마가렛루멘
2145,두산동 몬스터커피 두산점,몬스터커피 두산점
2146,두산동 읍천리382 대구두산점,읍천리382 두산점
2147,두산동 하삼동커피 대구두산점,하삼동커피 대구두산점
2148,두산동 메가MGC커피 대구황금점,메가MGC커피 대구황금점
2149,두산동 더벤티 대구두산점,더벤티 대구두산점
2150,지산1동 타샤커피,타샤커피
2151,황금1동 쭈롱베이크샵,쭈롱베이크샵
2152,황금1동 바질커피,바질커피
2153,황금1동 비포커피,비포커피
2154,범어4동 서로커피 만촌점,서로커피 만촌점
2155,황금1동 이디야커피 대구범어경신점,이디야커피 대구범어경신점
2156,범어4동 이끌림스터디카페,이끌림스터디카페 범어점
2157,황금1동 히스,히스
2158,범어4동 카페 로즈앤코튼,카페 로즈앤코튼
2159,만촌2동 teo,teo cafe
2160,만촌2동 얼리부띠끄카페,얼리 부띠끄 카페
2161,만촌3동 쿠우,쿠우
2162,만촌2동 충의로 3,충의로 3
2163,가창면 카페봄봄 대구파동점,카페봄봄 파동점
2164,파동 커피패밀리 파동점,커피패밀리 파동점
2165,가창면 카페노리터,카페노리터
2166,가창면 비그릭,비그릭
2167,가창면 이오커피,이오커피
2168,파동 라고디카페,라고디카페
2169,상동 커피파리스,커피파리스
2170,가창면 고요의 숲,고요의숲
2171,파동 카페파잠리,카페파잠리
2172,고산2동 산너머그집꿀,산너머그집 꿀카페
2173,만촌1동 낮잔에밤별소,낮잔에밤별소
2174,만촌1동 카페꽃이피다 만촌점,카페꽃이피다만촌점
2175,효목2동 파스쿠찌 대구만촌점,파스쿠찌 대구만촌점
2176,만촌1동 듀,듀
2177,만촌1동 샌타바버라,샌타바버라
2178,만촌1동 카페봄봄 만촌점,카페봄봄 만촌점
2179,만촌1동 몬스터커피 만촌점,몬스터커피 만촌점
2180,만촌1동 뵈르카페,뵈르카페
2181,만촌1동 크로스워크,크로스워크
2182,중동 멜티드,멜티드
2183,황금2동 룰루블루,룰루블루
2184,황금1동 카페 아틀란,카페 아틀란
2185,황금2동 힙오커피,힙오커피
2186,도원동 구트오피스커피,구트오피스커피
2187,동인동 스커트케이크샵,스커트케이크샵
2188,동인동 미스터브리즈커피 대구시청점,미스터브리즈커피 대구시청점
2189,도원동 서스카페,서스카페
2190,성내2동 러브모드,카페 러브모드
2191,성내2동 차방책방,차방책방
2192,성내3동 넌테이블,넌테이블
2193,삼덕동 더리터 동성로점,더리터 동성로점
2194,성내1동 이얼즈,이얼즈
2195,성내1동 빌로우 대구시청점,BELOW DAEGU CITY HALL
2196,삼덕동 카페헤이화,카페 헤이화
2197,삼덕동 혜동,혜동
2198,삼덕동 85커피,85커피
2199,남산2동 카페쵸피,카페 쵸피
2200,남산1동 탈린커피바,탈린커피바
2201,성내1동 까사넬로,까사넬로
2202,성내1동 버건디,버건디
2203,성내1동 북성로사람들,북성로사람들
2204,대신동 오퍼커피 서문시장점,오퍼커피 서문시장점
2205,도원동 매스커피 서문점,매스커피 서문점
2206,성내3동 더리터 대구서문시장점,더리터 서문시장점
2207,성내3동 카페이든,카페이든
2208,성내2동 물댄동산,물댄동산
2209,성내3동 로맨스빠빠,로맨스빠빠
2210,성내3동 카페마롱,카페마롱
2211,성내3동 커피한잔할래요,커피한잔할래요
2212,성내3동 아파트먼트 대구중앙점,아파트먼트 중앙점
2213,성내3동 할리스 롯데시네마프리미엄만경관점,할리스 만경관점
2214,성내3동 이디야커피 대구만경관점,이디야커피 대구만경관점
2215,성내1동 스쿱당,스쿱당 대구동성로점
2216,성내1동 영원아카이브,영원아카이브
2217,동인동 피삼사(pisamsa),피삼사
2218,동인동 커피러셀 동인점,커피러셀 동인점
2219,동인동 이디야커피 대구중구청점,이디야커피 대구중구청점
2220,동인동 카페로건,카페로건
2221,동인동 카페코튼 베이커리카페,카페코튼
2222,신천1동 영과점,영과점
2223,동인동 여름다방,여름다방
2224,동인동 크로플덕오리아가씨 대구중구점,크로플덕 오리아가씨 대구중구점
2225,성내2동 온정커피,온정커피
2226,성내3동 더 댄스,더 댄스
2227,동인동 이디야커피 대구시청점,이디야커피 대구시청점
2228,동인동 매스커피 시청점,매스커피 시청점
2229,동인동 헤드번팅커피,헤드번팅커피
2230,동인동 코히어,코히어
2231,동인동 오놀라,오놀라
2232,동인동 마이앤써이즈쿠키,마이앤써이즈쿠키
2233,동인동 퓨어리즘,퓨어리즘
2234,신천2동 데일리오아시스 대구본점,데일리오아시스 대구본점
2235,동인동 노웍스커피,노웍스커피
2236,동인동 시선커피스톨,시선커피스톨
2237,신천1동 브리플리,브리플리
2238,신천1동 모모상점,모모상점
2239,신천2동 샬로우커피 대구삼덕점,샬로우커피 대구삼덕점
2240,수성4가동 로우동인,로우동인
2241,삼덕동 더와이즈,더와이즈
2242,수성4가동 카페베버,카페베버
2243,신천2동 카페 아리움,카페 아리움
2244,동인동 테넷,테넷
2245,신천2동 명품다방,명품다방
2246,신천2동 모브,모브
2247,도원동 카페블레싱,카페 블레싱
2248,남산4동 녹아 대구남산점,녹아 대구남산점
2249,남산4동 텐퍼센트커피 대구남산극동점,텐퍼센트커피 대구남산극동점
