,사업장명,카페이름
627,월성1동 공차 대구월배점,공차 대구월배점
628,진천동 숭구리달당,숭구리달당
629,진천동 스테디커피 진천본점,스테디커피 본점
630,진천동 푸푸커피 진천점,푸푸커피 진천점
631,진천동 그린플레이트,그린플레이트
632,진천동 엘아르카 레푸스 진천점,엘아르카 레푸스 진천점
633,두류1동 캣월드,캣월드
634,두류1동 버블앤,버블앤
635,성당동 소쿠리과자점,소쿠리 과자점
636,두류1동 반달커피 두류점,반달커피 대구두류점
637,용산2동 이디야커피 대구용산점,이디야커피 대구용산점
638,용산2동 카페 어게인 74,카페어게인74
639,본동 커피신,커피신
640,월성2동 카페정&베이킹스튜디오,카페정베이킹스튜디오
641,송현1동 카페인중독 대구송현점,카페인중독 송현점
642,월성2동 카페게이트 월성본동점,카페게이트 월성본동점
643,장기동 몬스터커피 장기점,몬스터커피 장기점
644,상인3동 두어커피,두어커피
645,상인3동 컴포즈커피 대구도원점,컴포즈커피 대구도원점
646,진천동 더벤티 대구수목원점,더벤티 대구수목원점
647,진천동 빅밸리,빅밸리
648,진천동 이디야커피 수목원점,이디야커피 대구수목원점
649,진천동 테이블동이,테이블동이
650,진천동 에이치코너,에이치코너
651,진천동 올드인뉴,올드인뉴
652,진천동 감성커피 대곡점,감성커피 대곡점
653,진천동 하삼동커피 대구대곡점,하삼동커피 대구대곡점
654,신당동 커피앤스마일,커피앤스마일
655,신당동 론데일,론데일
656,신당동 착한커피&그릭요거트,착한커피&그릭요거트
657,신당동 콩볶는아저씨,콩볶는아저씨
658,신당동 카페루앤비 파호점,카페루앤비 대구파호점
659,신당동 앤위고커피,앤위고커피 AWGC
660,진천동 주커피 대구수목원점,주커피 대구수목원점
661,진천동 그린그루브 본점,그린그루브 본점
662,가창면 카페865,카페865
663,가창면 상띠에,상띠에
664,가창면 나드리커피,나드리커피
665,파동 투썸플레이스 파동가창점,투썸플레이스 파동가창점
666,가창면 폰타나커피,폰타나커피
667,가창면 카페랑,카페랑
668,가창면 투썸플레이스 대구가창점,투썸플레이스 대구가창점
669,가창면 핸즈커피 가창점,핸즈커피 가창점
670,가창면 커피온니두,커피온니두
671,가창면 커피예가,커피예가
672,가창면 커피팜,커피팜
673,가창면 비트리커피,가창카페 비트리커피
674,가창면 카페쁘띠씨엘,쁘띠씨엘
675,가창면 가창카페 아트도서관,가창카페 아트도서관
676,가창면 노즈커피,노즈커피
677,가창면 향갤러리&카페,향갤러리&카페
678,가창면 보니72,보니72
679,가창면 RULLYCOFFEE,룰리커피 가창점
680,가창면 카페공가,카페공가
681,가창면 오퐁드부아 티하우스,오퐁드부아 티 하우스
682,가창면 커피스탑 본점,커피스탑본점
683,가창면 센스컵,카페 센스컵
684,구지면 탑리터 구지점,탑리터 구지점
685,구지면 369떡카페,369떡카페
686,구지면 더리터 구지점,더리터 구지점
687,구지면 마시그래이 현풍구지점,마시그래이 현풍구지점
688,구지면 청솔로9 구지점,청솔로9 구지점
