,0
월성1동 공차 대구월배점,https://drive.google.com/uc?id=1gHuJq-IyxCmW1YPxKdribEAC9XoiYDNC
진천동 숭구리달당,https://drive.google.com/uc?id=1JY97FjOASpL3zDrYL8KtRm95bTFc2jFp
진천동 스테디커피 진천본점,https://drive.google.com/uc?id=1eh3yGoaBYNYuzmtnsfDHC_PZ3Xs1lZ2P
진천동 푸푸커피 진천점,https://drive.google.com/uc?id=1TpKc1pe5f3XSlrf64MK8q-h_A9HeKR4c
진천동 그린플레이트,https://drive.google.com/uc?id=1cvsVmN2T4fS7sO7evcm00T0Sub8xNJSO
진천동 엘아르카 레푸스 진천점,https://drive.google.com/uc?id=1qGYdgB8dOd7oAGjadrr-trcY14e7e2I2
두류1동 캣월드,https://drive.google.com/uc?id=1_3f7s7qaZCzg2f3FDMAYUyO7SGEaLWQK
성당동 소쿠리과자점,https://drive.google.com/uc?id=1YU5Rt6eGZh6nzdMjaL5-1pVJbvjW3qyy
두류1동 반달커피 두류점,https://drive.google.com/uc?id=16FGMJ5duPmb7j2IqoZprkLF5Px-YIe9T
용산2동 이디야커피 대구용산점,https://drive.google.com/uc?id=1qEIALuxCQaTo9zrnUpat2WHiy7Pl4RGT
용산2동 카페 어게인 74,https://drive.google.com/uc?id=1VJKxBDEobDy5VSarXCINGX_U0Q7uZTnA
본동 커피신,https://drive.google.com/uc?id=1hQhWEA2-NhoB_FcO9ncZwOEzPBFYXbrp
월성2동 카페정&베이킹스튜디오,https://drive.google.com/uc?id=1DtBHXP6c-4XKAcepMLT2EGOcLiR6KfhO
송현1동 카페인중독 대구송현점,https://drive.google.com/uc?id=1gvVB3z9iD8AoWaEn5QEdNROCyqtM0Zib
월성2동 카페게이트 월성본동점,https://drive.google.com/uc?id=1t1jfGToaTfNU3OLt4hJWixLnAZ2z_XNu
장기동 몬스터커피 장기점,https://drive.google.com/uc?id=18d8Qj8i226Lga4co8SC1U70HFJfAMusg
상인3동 두어커피,https://drive.google.com/uc?id=13OIhqcBfVQXl9iyoQMZqDvk8d32uXUHm
상인3동 컴포즈커피 대구도원점,https://drive.google.com/uc?id=1T09y-e-wdLdMaEmsUpHBEatShqClDkdv
진천동 더벤티 대구수목원점,https://drive.google.com/uc?id=1H3-TgKGSJ6ksZs9lCLzwV6Rgev5qswjk
진천동 빅밸리,https://drive.google.com/uc?id=1v1FEAZhF2sRuBNW9zbEmL0E9Pv8K_qfe
