,사업장명,카페이름,,,,,,,,
36,대명11동 카페오슬링(Osling),카페 오슬링,,,,,,,,
37,대명6동 또다,또다,,,,,,,,
38,대명10동 비아또,비아또,,,,,,,,
39,대명1동 카페점보,카페점보 본점,,,,,,,,
40,대명9동 이집,이집,,,,,,,,
41,대명1동 159센티미터,159센티미터,,,,,,,,
42,대명1동 어름,어름(Ur'm),,,,,,,,
43,대명9동 셀파파,셀파파,,,,,,,,
44,대명5동 포밍고,포밍고,,,,,,,,
45,대명5동 쉼표,쉼표플라워,,,,,,,,
46,대명5동 팔공티 대구영대병원점,팔공티 영대병원점,,,,,,,,
47,대명5동 캔버스 영남이공대점,캔버스 영남이공대점,,,,,,,,
48,대명4동 마시다,마시다,,,,,,,,
49,대명4동 카페몬트,카페 몬트,,,,,,,,
50,대명10동 뜰,뜰,,,,,,,,
51,송현1동 몬딘,몬딘커피,,,,,,,,
52,송현1동 팔공티 관문시장점,팔공티 관문시장점,,,,,,,,
53,대명6동 어라운드,어라운드,,,,,,,,
54,대명6동 라니밍,라니밍,,,,,,,,
55,봉덕2동 온오프 본점,카페온오프,,,,,,,,
56,봉덕2동 안도,안도,,,,,,,,
57,봉덕2동 시류,시류,,,,,,,,
58,수성1가동 에버유어스,에버유어스,,,,,,,,
59,대명10동 투썸플레이스 대구가톨릭병원대로점,투썸플레이스 대구가톨릭병원대로점,,,,,,,,
60,대명4동 칼터커피,칼터커피,,,,,,,,
61,대명4동 파스쿠찌 대구가톨릭대로DI점,파스쿠찌 가톨릭대로DI점,,,,,,,,
62,대명1동 카페체크 대명점,카페체크 대명점,,,,,,,,
63,대명10동 말자커피,말자커피,,,,,,,,
64,남산4동 레프트뱅크 계대정문,레프트뱅크 계대정문점,,,,,,,,
65,남산4동 파스쿠찌 대구남산역점,파스쿠찌 남산역점,,,,,,,,
66,대봉2동 카페생명나무,카페생명나무,,,,,,,,
67,대명3동 다빈치커피 대명마루점,다빈치커피 대명마루점,,,,,,,,
68,남산4동 카페봄봄 대명시장점,봄봄 대명시장점,,,,,,,,
69,남산4동 공드리다,공드리다,,,,,,,,
70,대명3동 커피눔,커피눔,,,,,,,,
71,남산3동 플라잉빵차,플라잉빵차,,,,,,,,
72,대명2동 스트롤커피,스트롤커피,,,,,,,,
73,이천동 카페모비딕,카페모비딕,,,,,,,,
74,수성1가동 바람구름,바람구름,,,,,,,,
75,남산4동 쌔틀,쌔틀,,,,,,,,
76,대명5동 모미닝,모미닝,,,,,,,,
77,대명1동 에이치카페,매머드익스프레스 대구영대병원점,,,,,,,,
