,사업장명,카페이름
1354,국우동 노블리비아,노블리비아
1355,무태조야동 꽃다방,꽃다방
1356,무태조야동 카페리미,카페리미
1357,무태조야동 팔공티 동변점,팔공티 대구동변점
1358,무태조야동 에이엣디,에이엣디 동변점
1359,산격1동 투썸플레이스 북대구IC주유소DT점,투썸플레이스 북대구IC주유소DT점
1360,산격1동 달보드레,달보드레
1361,산격1동 달리는커피 대구산격1호점,달리는커피 대구산격1호점
1362,산격1동 이디야커피 대구산격동점,이디야커피 대구산격동점
1363,산격2동 마시그래이 산격대우점,마시그래이 산격대우점
1364,산격2동 위치커피 산격점,위치커피 대구산격점
1365,산격2동 커피에반하다 대구산격점,커피에반하다 대구산격점
1366,산격2동 하삼동커피 대구산격점,하삼동커피 산격점
1367,복현1동 몬스터커피 복현점,몬스터커피 복현점
1368,복현1동 디저트39 복현아이파크점,디저트39 복현아이파크점
1369,복현1동 메가MGC커피 대구복현아이파크점,메가MGC커피 대구복현아이파크점
1370,복현1동 팬카페,팬카페
1371,복현2동 바라보다커피,바라보다 커피
1372,복현2동 레몬,레몬
1373,복현2동 수야모커피,수야모 로스터리 커피
1374,복현1동 해리슨커피숍,해리슨커피
1375,복현1동 빽다방 대구복현네거리점,빽다방 대구복현네거리점
1376,복현1동 공차 대구복현점,공차 대구복현점
1377,신암5동 올리버브라운 대구복현점,올리버브라운 대구복현점
1378,산격1동 플랜어트립,플랜어트립
1379,산격2동 읍천리382 대구경북대점,읍천리382 경북대점
1380,산격1동 촌실빵실살롱드테,촌실빵실살롱드테
1381,복현2동 프라이스커피,프라이스커피
1382,신암5동 핸즈커피 복현점,핸즈커피 복현점
1383,복현2동 마시그래이 복현푸르지오점,마시그래이 복현푸르지오점
1384,동천동 더리터 칠곡메가박스점,더리터 칠곡메가박스점
1385,국우동 CoffeeNol,Coffee nol
1386,관음동 써드스페이스 커피,써드스페이스
1387,관음동 투썸플레이스 대구칠곡3지구점,투썸플레이스 대구칠곡3지구점
1388,읍내동 카페조안나 칠곡점,카페조안나 칠곡점
1389,동천동 로투스,로투스
1390,관음동 청솔로9 칠곡동천점,청솔로9 칠곡동천점
1391,읍내동 동네커피 칠곡점,동네커피 칠곡점
1392,구암동 그카페,그카페
1393,구암동 정스커피,정스커피
1394,구암동 카페0937,카페0937
1395,구암동 투포인트,투포인트
1396,구암동 디어라마,디어라마
1397,동천동 마실커피 칠곡점,마실커피 칠곡점
1398,동천동 커피베이 대구동천점,커피베이 대구동천점
1399,동천동 몬스터커피 칠곡3지구점,몬스터커피 칠곡3지구점
1400,동천동 미유버터,미유버터
1401,관음동 카페달달 칠곡점,카페달달 칠곡점
1402,관음동 감성커피 대구팔거역점,감성커피 팔거역점
1403,관음동 플랜 칠곡점,플랜 칠곡점
1404,관음동 제로디스턴스,제로디스턴스
1405,관음동 투데이로스팅커피 동천점,투데이로스팅커피 동천점
1406,구암동 아마스빈 대구칠곡점,아마스빈 대구칠곡점
1407,무태조야동 빽다방 대구연경점,빽다방 대구연경점
1408,태전2동 윤슬다,윤슬다
1409,관문동 쿠잉,쿠잉
1410,관문동 나의 계절 봄,나의 계절 봄
