,0
범어4동 헤이트먼데이,https://drive.google.com/uc?id=1vHod7TCPrkHFlmMPLu9hvinnHkvop7zr
범어4동 카페버니,https://drive.google.com/uc?id=1UPKWVQ8fJNUH53JPE_y2NMaaTxSl_bF-
범어4동 스니프,https://drive.google.com/uc?id=1ah6p8sIQmxFfrbghkRbLfNyqo94ekDZ4
범어4동 카페루이지,https://drive.google.com/uc?id=1v3tbT-N62gzCt7W9GP0lCWY5DkV6QjZc
범어2동 헥스디저트랩,https://drive.google.com/uc?id=1bHM3TFO_Fy0DI3wDICosU1pgStHjB-s3
범어1동 마시그래이 수성범어점,https://drive.google.com/uc?id=1KNs6TVwZhZuZBnROvWjkO08T2An6k5Vf
수성4가동 할리스 범어천로점,https://drive.google.com/uc?id=11jDR9RgCpl0F43JklaHt3VWLUbvSQOBV
수성4가동 설빙 대구신천점,https://drive.google.com/uc?id=1cKam7Y8CU5peSl7WleHnsP8J-1piSbaS
수성2가동 파스쿠찌 대구라온제나점,https://drive.google.com/uc?id=1I3aPiOdmTbgmRLx8CqCy9p3IlDfr2rbH
황금1동 오리진커피,https://drive.google.com/uc?id=1rpOCDVD8Gb0UfYI5F9b2HXolg0oiFhOe
수성2가동 제이콥아츠,https://drive.google.com/uc?id=1udQ4TcAnhP7mrpnKAed3zr0lrC_eUlpl
범어3동 블루샥 대구범어푸르지오점,https://drive.google.com/uc?id=1eaOU5P_drD73fxRehH14D1jtGcUmfpUz
범어3동 미키마카롱,https://drive.google.com/uc?id=1wnte9ROGthcOWSOuh1tuVuMOrWmnTAhk
범어3동 몽산커피,https://drive.google.com/uc?id=1ICsWxbfot8CjMjnT50vXspFgHrsy_7TF
범어3동 그로잉,https://drive.google.com/uc?id=1NSJ_LOft0Vw6avz3ALoETCvW5v2R5hGV
범어3동 몬스터커피 범어점,https://drive.google.com/uc?id=1vIeqBubh8DALZPbTQZC9kI9qx1UmlcvZ
범어3동 카페나무,https://drive.google.com/uc?id=1Ck7HODuH0kg8Ij9lL2awoNf5cDAYxBdt
수성4가동 5후,https://drive.google.com/uc?id=1n35Ujmmt7aGZmCY8fx7SlrELki1WfPuG
범어3동 커피1번가,https://drive.google.com/uc?id=1CHBJWuhesRJk9LBNietjj1NYjGregWq8
범어3동 카페멜리아,https://drive.google.com/uc?id=1_c_SD9QkcMgaUIaWBM94hEr2iUDBe3Mp
두산동 몰타,https://drive.google.com/uc?id=1bGQlC4w9EVNW_st0mG_9ahile1sbPSwG
두산동 마시그래이 두산점,https://drive.google.com/uc?id=179Jjx9jAtcK5pk_Q-8EpHZXzsWJPEhQ7
상동 카페아지트,https://drive.google.com/uc?id=1pf_3Qaa8F7i_2MSiJl1bITKCVTosqtIL
상동 녹네커피,https://drive.google.com/uc?id=1EfPhpzP0V8k2ULImsniJ0ieZBF2ScEU-
상동 핑퐁커피 두산점,https://drive.google.com/uc?id=1Faa9_Ts5uH-GRFfsb2wG7unwRi0bZfB-
고산3동 플러터,https://drive.google.com/uc?id=17sY1tBqbFwLk0_nEVXpTRNDtq1bZ1zT7
