사업장명,주소,경도,위도,
시청(별관) 북카페,대구광역시 북구 산격동 1445-3 대구광역시청별관 ,128.6003454,35.8931948,
케이케이투카페(KK2CAFE),대구광역시 북구 관음동 1241-16번지 ,128.5464762,35.94503225,
카페연암,대구광역시 북구 산격동 947 ,128.595234,35.89278567,
카페연,대구광역시 북구 관음동 1383-14번지 ,128.5492661,35.93884401,
달콤그리미,대구광역시 북구 학정동 343번지 ,128.5647841,35.95309132,
감성커피,대구광역시 북구 대현동 407-12번지 ,128.6094989,35.88231016,
탭플레이(산격점),대구광역시 북구 산격동 807-4번지 ,128.5955728,35.89850637,
더리터(연경점),대구광역시 북구 연경동 1025-4번지 ,128.6185374,35.94356769,
이디야커피칠곡3지구점,대구광역시 북구 동천동 909-5번지 ,128.5609403,35.94229503,
커피베이경북대북문점,대구광역시 북구 산격동 1321-12번지 ,128.6106904,35.89438259,
준,대구광역시 북구 침산동 295-7번지 ,128.5907566,35.89090572,
리미스(RIMI'S),대구광역시 북구 동천동 920-8번지 ,128.5588293,35.93854174,
감성상점,대구광역시 북구 구암동 782-8번지 ,128.5694388,35.94105452,
그랜마오븐,대구광역시 북구 고성동2가 111-20번지 ,128.5821338,35.88107644,
커피홀(COFFEEHOLE)대구사수점,대구광역시 북구 사수동 831번지 ,128.5104651,35.89834578,
코코반침산점,대구광역시 북구 침산동 430-1 ,128.5862091,35.88895661,
이디야커피신암로점,대구광역시 북구 대현동 274-65번지 ,128.611285,35.88071759,
컴포즈커피(COMPOSECOFFEE)칠곡점,대구광역시 북구 구암동 650번지 ,128.5568142,35.93149504,
가왕커피,대구광역시 북구 태전동 1059-13번지 ,128.5490676,35.92557367,
멜트(Melt),대구광역시 북구 복현동 산 44-8번지 ,128.6248013,35.89999371,
카페제이(cafeJ),대구광역시 북구 산격동 14-22번지 ,128.6069583,35.9110501,
파스쿠찌대구칠곡태전DT점,대구광역시 북구 태전동 472-3번지 ,128.5487996,35.9170598,
청솔로9칠곡점,대구광역시 북구 읍내동 1381-10번지 ,128.5518966,35.93262784,
파스쿠찌칠곡태전DT점2,대구광역시 북구 태전동 472-3번지 ,128.5487996,35.9170598,
커피하우스&매점(coffee house&store),대구광역시 북구 산격동 1291-19 ,128.6136952,35.89680127,
차얌경북대점,대구광역시 북구 산격동 1327-1번지 ,128.6092593,35.89352362,
대구칠곡교회로뎀,대구광역시 북구 읍내동 840번지 ,128.5524372,35.94613217,
더리터침산점,대구광역시 북구 침산동 430-1번지 ,128.5862091,35.88895661,
스테이블모먼트반석점,대구광역시 북구 복현동 산 48-1 ,128.6259983,35.89733934,
